Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
18-JUL-2017,20MICRONS,39.85,39.70,0.0038,0.0224,0.0217,0.4146
18-JUL-2017,3IINFOTECH,4.40,4.45,-0.0113,0.0284,0.0277,0.5292
18-JUL-2017,3MINDIA,13589.20,13686.20,-0.0071,0.0144,0.0141,0.2694
18-JUL-2017,63MOONS,62.50,62.95,-0.0072,0.0145,0.0142,0.2713
18-JUL-2017,8KMILES,536.00,541.60,-0.0104,0.0164,0.0161,0.3076
18-JUL-2017,A2ZINFRA,42.55,43.10,-0.0128,0.0241,0.0236,0.4509
18-JUL-2017,AARTIDRUGS,559.50,562.95,-0.0061,0.0167,0.0163,0.3114
18-JUL-2017,AARTIIND,973.20,983.90,-0.0109,0.0202,0.0198,0.3783
18-JUL-2017,AARVEEDEN,63.50,65.95,-0.0379,0.0243,0.0253,0.4834
18-JUL-2017,ABAN,186.10,188.70,-0.0139,0.0210,0.0206,0.3936
18-JUL-2017,ABB,1428.10,1443.35,-0.0106,0.0134,0.0132,0.2522
18-JUL-2017,ABBOTINDIA,4467.70,4500.70,-0.0074,0.0139,0.0136,0.2598
18-JUL-2017,ABFRL,177.90,180.75,-0.0159,0.0168,0.0167,0.3191
18-JUL-2017,ABGSHIP,13.00,13.15,-0.0115,0.0384,0.0373,0.7126
18-JUL-2017,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
18-JUL-2017,ABMINTLTD,103.90,104.50,-0.0058,0.0555,0.0538,1.0278
18-JUL-2017,ACC,1759.50,1747.40,0.0069,0.0151,0.0147,0.2808
18-JUL-2017,ACCELYA,1386.10,1381.80,0.0031,0.0156,0.0151,0.2885
18-JUL-2017,ACE,70.80,70.50,0.0042,0.0295,0.0286,0.5464
18-JUL-2017,ADANIENT,137.85,139.40,-0.0112,0.0257,0.0251,0.4795
18-JUL-2017,ADANIPORTS,381.90,381.25,0.0017,0.0131,0.0127,0.2426
18-JUL-2017,ADANIPOWER,29.90,30.05,-0.0050,0.0240,0.0233,0.4451
18-JUL-2017,ADANITRANS,124.60,125.60,-0.0080,0.0225,0.0219,0.4184
18-JUL-2017,ADFFOODS,245.80,249.35,-0.0143,0.0261,0.0255,0.4872
18-JUL-2017,ADHUNIK,5.65,5.75,-0.0175,0.0232,0.0229,0.4375
18-JUL-2017,ADHUNIKIND,99.75,99.70,0.0005,0.0149,0.0144,0.2751
18-JUL-2017,ADLABS,71.75,72.90,-0.0159,0.0236,0.0232,0.4432
18-JUL-2017,ADORWELD,388.50,392.85,-0.0111,0.0301,0.0293,0.5598
18-JUL-2017,ADSL,24.75,25.20,-0.0180,0.0237,0.0234,0.4471
18-JUL-2017,ADVANIHOTR,59.75,60.30,-0.0092,0.0326,0.0317,0.6056
18-JUL-2017,ADVENZYMES,346.60,346.55,0.0001,0.0196,0.0190,0.3630
18-JUL-2017,AEGISCHEM,189.55,186.35,0.0170,0.0141,0.0143,0.2732
18-JUL-2017,AFL,53.80,56.55,-0.0499,0.0294,0.0310,0.5923
18-JUL-2017,AGARIND,641.50,643.70,-0.0034,0.0135,0.0131,0.2503
18-JUL-2017,AGCNET,122.10,124.95,-0.0231,0.0308,0.0304,0.5808
18-JUL-2017,AGRITECH,60.80,62.40,-0.0260,0.0366,0.0361,0.6897
18-JUL-2017,AHLEAST,290.30,290.05,0.0009,0.0141,0.0137,0.2617
18-JUL-2017,AHLUCONT,298.80,294.60,0.0142,0.0301,0.0294,0.5617
18-JUL-2017,AHLWEST,165.05,165.00,0.0003,0.0248,0.0240,0.4585
18-JUL-2017,AIAENG,1392.10,1394.20,-0.0015,0.0174,0.0169,0.3229
18-JUL-2017,AICHAMP,27.15,26.65,0.0186,0.0272,0.0268,0.5120
18-JUL-2017,AIFL,403.55,401.40,0.0053,0.0157,0.0153,0.2923
18-JUL-2017,AJANTPHARM,1462.35,1486.60,-0.0164,0.0126,0.0129,0.2465
18-JUL-2017,AJMERA,201.10,204.65,-0.0175,0.0238,0.0235,0.4490
18-JUL-2017,AKSHARCHEM,824.50,837.40,-0.0155,0.0240,0.0236,0.4509
18-JUL-2017,AKSHOPTFBR,21.60,22.20,-0.0274,0.0427,0.0419,0.8005
18-JUL-2017,AKZOINDIA,1789.85,1806.00,-0.0090,0.0100,0.0099,0.1891
18-JUL-2017,ALANKIT,34.75,35.30,-0.0157,0.0287,0.0281,0.5368
18-JUL-2017,ALBERTDAVD,323.15,320.25,0.0090,0.0173,0.0169,0.3229
18-JUL-2017,ALBK,72.00,71.20,0.0112,0.0210,0.0205,0.3917
