Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
03-AUG-2012,20MICRONS,99.50,96.85,0.0270,0.0212,0.0216,0.4127
03-AUG-2012,3IINFOTECH,10.05,10.55,-0.0486,0.0370,0.0378,0.7222
03-AUG-2012,3MINDIA,3750.00,3766.15,-0.0043,0.0138,0.0134,0.2560
03-AUG-2012,A2ZMES,87.00,88.25,-0.0143,0.0437,0.0425,0.8120
03-AUG-2012,AANJANEYA,508.25,508.45,-0.0004,0.0210,0.0204,0.3897
03-AUG-2012,AARTIDRUGS,125.95,124.95,0.0080,0.0203,0.0198,0.3783
03-AUG-2012,AARTIIND,73.70,74.10,-0.0054,0.0134,0.0131,0.2503
03-AUG-2012,AARVEEDEN,35.35,35.45,-0.0028,0.0241,0.0234,0.4471
03-AUG-2012,ABAN,389.55,388.70,0.0022,0.0239,0.0232,0.4432
03-AUG-2012,ABB,780.05,789.35,-0.0119,0.0163,0.0161,0.3076
03-AUG-2012,ABBOTINDIA,1497.55,1505.85,-0.0055,0.0106,0.0104,0.1987
03-AUG-2012,ABCIL,72.95,73.60,-0.0089,0.0197,0.0192,0.3668
03-AUG-2012,ABGSHIP,366.95,366.15,0.0022,0.0128,0.0124,0.2369
03-AUG-2012,ABHISHEK,7.40,7.20,0.0274,0.0320,0.0317,0.6056
03-AUG-2012,ABIRLANUVO,777.45,789.85,-0.0158,0.0144,0.0145,0.2770
03-AUG-2012,ACC,1308.70,1317.55,-0.0067,0.0135,0.0132,0.2522
03-AUG-2012,ACE,27.40,27.85,-0.0163,0.0155,0.0155,0.2961
03-AUG-2012,ACROPETAL,13.45,13.80,-0.0257,0.0207,0.0210,0.4012
03-AUG-2012,ADANIENT,179.80,185.75,-0.0326,0.0297,0.0299,0.5712
03-AUG-2012,ADANIPORTS,121.55,121.60,-0.0004,0.0198,0.0192,0.3668
03-AUG-2012,ADANIPOWER,42.85,43.25,-0.0093,0.0229,0.0223,0.4260
03-AUG-2012,ADFFOODS,47.20,47.15,0.0011,0.0221,0.0214,0.4088
03-AUG-2012,ADHUNIK,30.50,30.50,0.0000,0.0165,0.0160,0.3057
03-AUG-2012,ADORWELD,140.45,142.25,-0.0127,0.0289,0.0282,0.5388
03-AUG-2012,ADSL,26.35,26.25,0.0038,0.0313,0.0304,0.5808
03-AUG-2012,ADVANIHOTR,27.90,26.60,0.0477,0.0235,0.0256,0.4891
03-AUG-2012,ADVANTA,492.80,499.95,-0.0144,0.0208,0.0205,0.3917
03-AUG-2012,AEGISCHEM,115.30,113.80,0.0131,0.0197,0.0194,0.3706
03-AUG-2012,AFL,30.35,30.75,-0.0131,0.0341,0.0332,0.6343
03-AUG-2012,AFTEK,7.80,7.85,-0.0064,0.0242,0.0235,0.4490
03-AUG-2012,AGCNET,281.90,284.30,-0.0085,0.0283,0.0275,0.5254
03-AUG-2012,AGRODUTCH,4.25,4.30,-0.0117,0.0290,0.0283,0.5407
03-AUG-2012,AHLEAST,241.00,241.05,-0.0002,0.0213,0.0207,0.3955
03-AUG-2012,AHLUCONT,47.50,48.95,-0.0301,0.0266,0.0268,0.5120
03-AUG-2012,AHLWEST,126.50,126.00,0.0040,0.0174,0.0169,0.3229
03-AUG-2012,AHMEDFORGE,126.30,129.90,-0.0281,0.0151,0.0162,0.3095
03-AUG-2012,AIAENG,310.70,309.70,0.0032,0.0142,0.0138,0.2636
03-AUG-2012,AICHAMP,20.35,19.45,0.0452,0.0354,0.0361,0.6897
03-AUG-2012,AIL,386.15,391.40,-0.0135,0.0225,0.0221,0.4222
03-AUG-2012,AJANTPHARM,761.20,762.20,-0.0013,0.0203,0.0197,0.3764
03-AUG-2012,AJMERA,104.85,107.40,-0.0240,0.0121,0.0131,0.2503
03-AUG-2012,AKSHOPTFBR,16.10,16.35,-0.0154,0.0163,0.0162,0.3095
03-AUG-2012,AKZOINDIA,877.30,879.50,-0.0025,0.0123,0.0119,0.2273
03-AUG-2012,ALBK,131.65,132.50,-0.0064,0.0222,0.0216,0.4127
03-AUG-2012,ALCHEM,52.05,51.75,0.0058,0.0345,0.0335,0.6400
03-AUG-2012,ALEMBICLTD,16.90,15.95,0.0579,0.0200,0.0240,0.4585
03-AUG-2012,ALICON,60.00,61.45,-0.0239,0.0214,0.0216,0.4127
03-AUG-2012,ALKALI,26.25,26.75,-0.0189,0.0268,0.0264,0.5044
03-AUG-2012,ALKYLAMINE,96.75,97.30,-0.0057,0.0214,0.0208,0.3974
03-AUG-2012,ALLCARGO,137.50,136.70,0.0058,0.0233,0.0226,0.4318
03-AUG-2012,ALLSEC,37.85,39.80,-0.0502,0.0421,0.0426,0.8139
03-AUG-2012,ALMONDZ,7.95,7.95,0.0000,0.0641,0.0621,1.1864
03-AUG-2012,ALOKTEXT,15.80,15.45,0.0224,0.0176,0.0179,0.3420
03-AUG-2012,ALPA,8.10,8.15,-0.0062,0.0209,0.0203,0.3878
03-AUG-2012,ALPHAGEO,44.60,45.10,-0.0111,0.0377,0.0367,0.7012
03-AUG-2012,ALPINEHOU,7.45,7.80,-0.0459,0.0373,0.0379,0.7241
03-AUG-2012,ALPSINDUS,1.90,1.95,-0.0260,0.0342,0.0338,0.6457
03-AUG-2012,ALSTOMT&D,191.50,189.40,0.0110,0.0179,0.0176,0.3362
03-AUG-2012,AMAR,67.90,71.70,-0.0545,0.0763,0.0752,1.4367
03-AUG-2012,AMARAJABAT,305.60,303.30,0.0076,0.0141,0.0138,0.2636
03-AUG-2012,AMARJOTHI,38.10,38.10,0.0000,0.0325,0.0315,0.6018
03-AUG-2012,AMBIKCO,182.85,186.45,-0.0195,0.0271,0.0267,0.5101
03-AUG-2012,AMBUJACEM,182.60,183.90,-0.0071,0.0174,0.0170,0.3248
03-AUG-2012,AMDIND,14.55,15.15,-0.0404,0.0219,0.0234,0.4471
03-AUG-2012,AMLSTEEL,9.50,9.50,0.0000,0.0282,0.0273,0.5216
03-AUG-2012,AMRUTANJAN,783.20,770.20,0.0167,0.0149,0.0150,0.2866
03-AUG-2012,AMTEKAUTO,100.50,101.95,-0.0143,0.0193,0.0190,0.3630
03-AUG-2012,AMTEKINDIA,91.65,91.50,0.0016,0.0130,0.0126,0.2407
03-AUG-2012,ANANTRAJ,47.75,48.50,-0.0156,0.0245,0.0241,0.4604
03-AUG-2012,ANDHRABANK,100.80,101.75,-0.0094,0.0175,0.0171,0.3267
03-AUG-2012,ANDHRACEMT,8.80,8.95,-0.0169,0.0162,0.0162,0.3095
03-AUG-2012,ANDHRSUGAR,148.70,141.85,0.0472,0.0182,0.0211,0.4031
03-AUG-2012,ANGIND,16.05,16.50,-0.0277,0.0262,0.0263,0.5025
03-AUG-2012,ANIKINDS,33.50,33.40,0.0030,0.0303,0.0294,0.5617
03-AUG-2012,ANKURDRUGS,14.55,14.65,-0.0068,0.0500,0.0485,0.9266
03-AUG-2012,ANSALAPI,26.40,26.90,-0.0188,0.0234,0.0231,0.4413
03-AUG-2012,ANSALHSG,45.00,44.95,0.0011,0.0127,0.0123,0.2350
03-AUG-2012,ANTGRAPHIC,0.20,0.20,0.0000,0.1597,0.1548,2.9574
03-AUG-2012,APARINDS,131.45,132.65,-0.0091,0.0194,0.0189,0.3611
03-AUG-2012,APCOTEXIND,185.00,189.30,-0.0230,0.0343,0.0337,0.6438
03-AUG-2012,APLAB,26.00,26.00,0.0000,0.0377,0.0366,0.6992
03-AUG-2012,APLAPOLLO,152.70,157.80,-0.0329,0.0213,0.0222,0.4241
03-AUG-2012,APLLTD,64.35,63.90,0.0070,0.0214,0.0208,0.3974
03-AUG-2012,APOLLOHOSP,622.45,623.20,-0.0012,0.0132,0.0128,0.2445
03-AUG-2012,APOLLOTYRE,79.35,78.65,0.0089,0.0172,0.0168,0.3210
03-AUG-2012,APPAPER,313.75,296.90,0.0552,0.0370,0.0383,0.7317
03-AUG-2012,APTECHT,72.20,72.90,-0.0096,0.0235,0.0229,0.4375
03-AUG-2012,AQUA,10.90,11.00,-0.0091,0.0466,0.0452,0.8635
03-AUG-2012,ARCHIDPLY,8.70,8.65,0.0058,0.0308,0.0299,0.5712
03-AUG-2012,ARCHIES,22.95,23.65,-0.0300,0.0357,0.0354,0.6763
03-AUG-2012,ARIES,54.00,54.50,-0.0092,0.0182,0.0178,0.3401
03-AUG-2012,ARIHANT,44.85,46.80,-0.0426,0.0300,0.0309,0.5903
03-AUG-2012,AROGRANITE,33.70,32.25,0.0440,0.0220,0.0239,0.4566
03-AUG-2012,ARROWTEX,6.40,6.70,-0.0458,0.0467,0.0466,0.8903
03-AUG-2012,ARSHIYA,122.45,123.85,-0.0114,0.0190,0.0186,0.3554
03-AUG-2012,ARSSINFRA,45.30,45.10,0.0044,0.0425,0.0412,0.7871
03-AUG-2012,ARVIND,71.85,71.20,0.0091,0.0190,0.0186,0.3554
03-AUG-2012,ARVINDREM,23.70,23.25,0.0192,0.0145,0.0148,0.2828
03-AUG-2012,ASAHIINDIA,65.25,60.40,0.0772,0.0172,0.0252,0.4814
03-AUG-2012,ASAHISONG,90.55,89.50,0.0117,0.0136,0.0135,0.2579
03-AUG-2012,ASAL,47.00,47.60,-0.0127,0.0231,0.0226,0.4318
03-AUG-2012,ASHAPURMIN,23.20,22.10,0.0486,0.0436,0.0439,0.8387
03-AUG-2012,ASHCONIUL,1.30,1.25,0.0392,0.0349,0.0352,0.6725
03-AUG-2012,ASHIANA,160.00,157.85,0.0135,0.0167,0.0165,0.3152
03-AUG-2012,ASHIMASYN,3.90,3.80,0.0260,0.0305,0.0302,0.5770
03-AUG-2012,ASHOKA,211.45,219.00,-0.0351,0.0183,0.0197,0.3764
03-AUG-2012,ASHOKLEY,22.75,23.00,-0.0109,0.0243,0.0237,0.4528
03-AUG-2012,ASIANELEC,5.70,5.65,0.0088,0.0340,0.0330,0.6305
03-AUG-2012,ASIANHOTNR,189.65,189.10,0.0029,0.0122,0.0118,0.2254
03-AUG-2012,ASIANPAINT,3757.25,3651.30,0.0286,0.0151,0.0162,0.3095
03-AUG-2012,ASIANTILES,45.10,45.00,0.0022,0.0360,0.0349,0.6668
03-AUG-2012,ASIL,1.30,1.30,0.0000,0.0176,0.0171,0.3267
03-AUG-2012,ASSAMCO,5.75,6.00,-0.0426,0.0268,0.0280,0.5349
03-AUG-2012,ASTEC,25.20,24.00,0.0488,0.0249,0.0269,0.5139
03-AUG-2012,ASTERSILI,8.80,7.50,0.1598,0.0396,0.0548,1.0470
03-AUG-2012,ASTRAL,233.60,231.25,0.0101,0.0132,0.0130,0.2484
03-AUG-2012,ASTRAMICRO,41.00,40.45,0.0135,0.0210,0.0206,0.3936
03-AUG-2012,ASTRAZEN,1608.10,1596.35,0.0073,0.0207,0.0201,0.3840
03-AUG-2012,ATFL,487.65,456.20,0.0667,0.0153,0.0221,0.4222
03-AUG-2012,ATLANTA,56.60,56.75,-0.0026,0.0109,0.0106,0.2025
03-AUG-2012,ATLASCYCLE,404.65,399.55,0.0127,0.0354,0.0345,0.6591
03-AUG-2012,ATNINTER,0.60,0.60,0.0000,0.0558,0.0541,1.0336
03-AUG-2012,ATUL,271.50,275.10,-0.0132,0.0259,0.0253,0.4834
03-AUG-2012,AURIONPRO,115.00,115.80,-0.0069,0.0243,0.0236,0.4509
03-AUG-2012,AUROPHARMA,113.60,112.55,0.0093,0.0240,0.0234,0.4471
03-AUG-2012,AUSOMENT,21.25,21.25,0.0000,0.0129,0.0125,0.2388
03-AUG-2012,AUSTRAL,1.00,0.95,0.0513,0.0358,0.0369,0.7050
03-AUG-2012,AUTOAXLES,362.10,362.55,-0.0012,0.0202,0.0196,0.3745
03-AUG-2012,AUTOIND,140.15,140.55,-0.0029,0.0309,0.0300,0.5731
03-AUG-2012,AUTOLITIND,15.30,15.40,-0.0065,0.0320,0.0311,0.5942
03-AUG-2012,AVANTI,149.65,150.00,-0.0023,0.0286,0.0277,0.5292
