Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365),,,
09-Nov-15,ALPSINDUS,4.75,4.6,0.0321,0.0303,0.0304,0.5808,,,#N/A
09-Nov-15,ALSTOMT&D,510.1,515.8,-0.0111,0.0159,0.0157,0.2999,,,#N/A
09-Nov-15,AMARAJABAT,908.35,887.9,0.0228,0.0211,0.0212,0.405,,,#N/A
09-Nov-15,AMBIKCO,837.25,850.55,-0.0158,0.022,0.0217,0.4146,,,#N/A
09-Nov-15,AMBUJACEM,205,209.85,-0.0234,0.0118,0.0128,0.2445,,,#N/A
09-Nov-15,AMDIND,22.35,22.3,0.0022,0.0429,0.0416,0.7948,,,#N/A
09-Nov-15,AMRUTANJAN,471.8,486.45,-0.0306,0.0307,0.0307,0.5865,,,#N/A
09-Nov-15,AMTEKAUTO,42.3,41.4,0.0215,0.0716,0.0696,1.3297,,,#N/A
09-Nov-15,AMTL,26.25,27.15,-0.0337,0.0451,0.0445,0.8502,,,#N/A
09-Nov-15,ANANTRAJ,34.9,36,-0.031,0.0217,0.0224,0.428,,,#N/A
09-Nov-15,ANDHRABANK,68.55,66.45,0.0311,0.0187,0.0197,0.3764,,,#N/A
09-Nov-15,ANDHRACEMT,5.85,5.8,0.0086,0.0381,0.037,0.7069,,,#N/A
09-Nov-15,ANDHRSUGAR,126.1,125.15,0.0076,0.0269,0.0261,0.4986,,,#N/A
09-Nov-15,ANGIND,45.9,39.9,0.1401,0.036,0.0489,0.9342,,,#N/A
09-Nov-15,ANIKINDS,27.65,27.65,0,0.0278,0.027,0.5158,,,#N/A
09-Nov-15,ANKITMETAL,1.75,1.75,0,0.0292,0.0283,0.5407,,,#N/A
09-Nov-15,ANSALAPI,17.65,17.85,-0.0113,0.0271,0.0264,0.5044,,,#N/A
09-Nov-15,ANSALHSG,23.9,24,-0.0042,0.0341,0.0331,0.6324,,,#N/A
09-Nov-15,ANTGRAPHIC,0.15,0.1,0.4055,0.2958,0.3035,5.7984,,,#N/A
09-Nov-15,APARINDS,431.15,428.15,0.007,0.0204,0.0199,0.3802,,,#N/A
09-Nov-15,APCOTEXIND,229.2,224.15,0.0223,0.0232,0.0231,0.4413,,,#N/A
09-Nov-15,APLAPOLLO,530.05,524.2,0.0111,0.0209,0.0204,0.3897,,,#N/A
09-Nov-15,APLLTD,673.1,668.7,0.0066,0.0155,0.0151,0.2885,,,#N/A
09-Nov-15,APOLLOHOSP,1324.15,1345.85,-0.0163,0.0166,0.0166,0.3171,,,#N/A
09-Nov-15,APOLLOTYRE,160.55,158.9,0.0103,0.0256,0.0249,0.4757,,,#N/A
09-Nov-15,APOLSINHOT,170,170,0,0.0293,0.0284,0.5426,,,#N/A
09-Nov-15,APTECHT,60.65,56.8,0.0656,0.027,0.0307,0.5865,,,#N/A
09-Nov-15,ARCHIDPLY,51.5,49.85,0.0326,0.0431,0.0425,0.812,,,#N/A
09-Nov-15,ARCHIES,28.55,28.7,-0.0052,0.033,0.032,0.6114,,,#N/A
09-Nov-15,ARCOTECH,366.45,367.8,-0.0037,0.0551,0.0534,1.0202,,,#N/A
09-Nov-15,ARIES,93.7,92.9,0.0086,0.0256,0.0249,0.4757,,,#N/A
09-Nov-15,ARIHANT,33.15,33.15,0,0.0394,0.0382,0.7298,,,#N/A
09-Nov-15,AROGRANITE,49,50.15,-0.0232,0.034,0.0335,0.64,,,#N/A
09-Nov-15,ARROWCOAT,643.65,616.25,0.0435,0.0493,0.049,0.9361,,,#N/A
09-Nov-15,ARROWTEX,26.6,26.35,0.0094,0.0482,0.0468,0.8941,,,#N/A
09-Nov-15,ARSHIYA,36.4,36.5,-0.0027,0.0399,0.0387,0.7394,,,#N/A
09-Nov-15,ARSSINFRA,31,31.8,-0.0255,0.0307,0.0304,0.5808,,,#N/A
09-Nov-15,ARVIND,286.1,283.65,0.0086,0.0221,0.0215,0.4108,,,#N/A
09-Nov-15,ARVINDREM,7.8,8.2,-0.05,0.0306,0.0321,0.6133,,,#N/A
09-Nov-15,ARVINFRA,70.55,67.2,0.0486,0.0405,0.041,0.7833,,,#N/A
09-Nov-15,ASAHIINDIA,152.9,147.85,0.0336,0.0204,0.0214,0.4088,,,#N/A
09-Nov-15,ASAHISONG,137.9,137.45,0.0033,0.0248,0.0241,0.4604,,,#N/A
09-Nov-15,ASAL,35.5,35.6,-0.0028,0.0228,0.0221,0.4222,,,#N/A
09-Nov-15,ASHAPURMIN,60.1,60.9,-0.0132,0.0355,0.0346,0.661,,,#N/A
09-Nov-15,ASHIANA,165.4,172.55,-0.0423,0.0273,0.0284,0.5426,,,#N/A
09-Nov-15,ASHIMASYN,11.7,11.85,-0.0127,0.0507,0.0493,0.9419,,,#N/A
09-Nov-15,ASHOKA,164.25,163.75,0.003,0.0129,0.0125,0.2388,,,#N/A
09-Nov-15,ASHOKLEY,88.95,87.6,0.0153,0.0229,0.0225,0.4299,,,#N/A
09-Nov-15,ASIANHOTNR,132.55,131.65,0.0068,0.0238,0.0231,0.4413,,,#N/A
09-Nov-15,ASIANPAINT,816.4,801.2,0.0188,0.0164,0.0166,0.3171,,,#N/A
09-Nov-15,ASIANTILES,170.5,162.85,0.0459,0.047,0.0469,0.896,,,#N/A
09-Nov-15,ASIL,1.45,1.45,0,0.0016,0.0016,0.0306,,,#N/A
09-Nov-15,ASSAMCO,3.2,3.1,0.0317,0.0253,0.0257,0.491,,,#N/A
09-Nov-15,ASTEC,243.5,241,0.0103,0.0189,0.0185,0.3534,,,#N/A
09-Nov-15,ASTRAL,425.85,422.3,0.0084,0.0135,0.0132,0.2522,,,#N/A
09-Nov-15,ASTRAMICRO,130.6,128.55,0.0158,0.0291,0.0285,0.5445,,,#N/A
09-Nov-15,ASTRAZEN,1150.9,1160.85,-0.0086,0.0144,0.0141,0.2694,,,#N/A
09-Nov-15,ATFL,578.25,571.45,0.0118,0.0147,0.0145,0.277,,,#N/A
09-Nov-15,ATLANTA,29.95,30.05,-0.0033,0.0243,0.0236,0.4509,,,#N/A
09-Nov-15,ATLASCYCLE,208.5,205,0.0169,0.0305,0.0299,0.5712,,,#N/A
09-Nov-15,ATNINTER,0.25,0.25,0,0.0987,0.0957,1.8283,,,#N/A
09-Nov-15,ATUL,1739.6,1725.95,0.0079,0.0249,0.0242,0.4623,,,#N/A
09-Nov-15,ATULAUTO,458.55,457.05,0.0033,0.0215,0.0209,0.3993,,,#N/A
09-Nov-15,AURIONPRO,207.7,204.7,0.0145,0.0309,0.0302,0.577,,,#N/A
09-Nov-15,AUROPHARMA,856.65,814.1,0.0509,0.0164,0.0202,0.3859,,,#N/A
09-Nov-15,AUSOMENT,24.8,23.95,0.0349,0.0723,0.0706,1.3488,,,#N/A
09-Nov-15,AUSTRAL,0.45,0.45,0,0.0622,0.0603,1.152,,,#N/A
09-Nov-15,AUTOAXLES,675.55,670.2,0.008,0.0212,0.0206,0.3936,,,#N/A
09-Nov-15,AUTOIND,41.45,42.65,-0.0285,0.0232,0.0236,0.4509,,,#N/A
09-Nov-15,AUTOLITIND,52.4,53.1,-0.0133,0.0308,0.03,0.5731,,,#N/A
09-Nov-15,AVANTI,704.95,704.95,0,0.0024,0.0023,0.0439,,,#N/A
09-Nov-15,AVANTIFEED,2544.55,2687.6,-0.0547,0.0326,0.0343,0.6553,,,#N/A
09-Nov-15,AVTNPL,31.75,31.2,0.0175,0.0268,0.0263,0.5025,,,#N/A
09-Nov-15,AXISBANK,464.95,465.15,-0.0004,0.0228,0.0221,0.4222,,,#N/A
09-Nov-15,AXISCADES,336.5,303.4,0.1035,0.038,0.0447,0.854,,,#N/A
09-Nov-15,AXISGOLD,2358,2344.7,0.0057,0.0061,0.0061,0.1165,,,AXISGOLD
09-Nov-15,BAFNAPHARM,36.75,38.95,-0.0581,0.044,0.045,0.8597,,,#N/A
09-Nov-15,BAGFILMS,2.75,2.7,0.0183,0.0478,0.0466,0.8903,,,#N/A
09-Nov-15,BAJAJ-AUTO,2409.1,2429.45,-0.0084,0.018,0.0176,0.3362,,,#N/A
09-Nov-15,BAJAJCORP,416.75,411.8,0.0119,0.019,0.0187,0.3573,,,#N/A
09-Nov-15,BAJAJELEC,236.1,239.1,-0.0126,0.0187,0.0184,0.3515,,,#N/A
09-Nov-15,BAJAJFINSV,1961.1,1978.05,-0.0086,0.0171,0.0167,0.3191,,,#N/A
09-Nov-15,BAJAJHIND,18.9,17.7,0.0656,0.0449,0.0464,0.8865,,,#N/A
09-Nov-15,BAJAJHLDNG,1653.9,1665.3,-0.0069,0.0128,0.0125,0.2388,,,#N/A
09-Nov-15,BAJFINANCE,5346.15,5297.35,0.0092,0.0171,0.0167,0.3191,,,#N/A
09-Nov-15,BALAJITELE,115.6,112.25,0.0294,0.0317,0.0316,0.6037,,,#N/A
09-Nov-15,BALAMINES,124.8,125.15,-0.0028,0.0363,0.0352,0.6725,,,#N/A
09-Nov-15,BALKRISIND,659.35,667.7,-0.0126,0.0091,0.0093,0.1777,,,#N/A
09-Nov-15,BALLARPUR,17.5,17.85,-0.0198,0.0267,0.0263,0.5025,,,#N/A
09-Nov-15,BALMLAWRIE,569.9,562.8,0.0125,0.0131,0.0131,0.2503,,,#N/A
09-Nov-15,BALPHARMA,76.65,77.55,-0.0117,0.0252,0.0246,0.47,,,#N/A
09-Nov-15,BALRAMCHIN,64.15,59,0.0837,0.031,0.0364,0.6954,,,#N/A
09-Nov-15,BANARBEADS,32.65,30.6,0.0648,0.0371,0.0393,0.7508,,,#N/A
09-Nov-15,BANARISUG,1002.65,997,0.0057,0.0376,0.0365,0.6973,,,#N/A
09-Nov-15,BANCOINDIA,130.7,129.5,0.0092,0.0231,0.0225,0.4299,,,#N/A
09-Nov-15,BANG,12.35,12.3,0.0041,0.0325,0.0315,0.6018,,,#N/A
09-Nov-15,BANKBARODA,171.45,167.05,0.026,0.0229,0.0231,0.4413,,,#N/A
09-Nov-15,BANKBEES,1717.15,1723.88,-0.0039,0.0113,0.011,0.2102,,,#N/A
09-Nov-15,BANKINDIA,133.55,134.5,-0.0071,0.0189,0.0184,0.3515,,,#N/A
09-Nov-15,BANSWRAS,86.95,86.95,0,0.0386,0.0374,0.7145,,,#N/A
09-Nov-15,BARTRONICS,8.7,8.85,-0.0171,0.0224,0.0221,0.4222,,,#N/A
09-Nov-15,BASF,887.65,893.35,-0.0064,0.0234,0.0227,0.4337,,,#N/A
09-Nov-15,BASML,195.15,189.3,0.0304,0.0226,0.0231,0.4413,,,#N/A
09-Nov-15,BATAINDIA,484.2,466.05,0.0382,0.02,0.0215,0.4108,,,#N/A
09-Nov-15,BAYERCROP,3407.05,3422.2,-0.0044,0.0142,0.0138,0.2636,,,#N/A
09-Nov-15,BBL,581.25,588.55,-0.0125,0.0239,0.0234,0.4471,,,#N/A
09-Nov-15,BBTC,499.75,505.05,-0.0105,0.021,0.0205,0.3917,,,#N/A
09-Nov-15,BEARDSELL,55.2,52.6,0.0482,0.0332,0.0343,0.6553,,,#N/A
09-Nov-15,BEDMUTHA,12.85,12.5,0.0276,0.0281,0.0281,0.5368,,,#N/A
09-Nov-15,BEL,1290.5,1244.55,0.0363,0.0177,0.0193,0.3687,,,#N/A
09-Nov-15,BEML,1127.55,1108.65,0.0169,0.0168,0.0168,0.321,,,#N/A
09-Nov-15,BEPL,22.55,22.2,0.0156,0.0591,0.0574,1.0966,,,#N/A
09-Nov-15,BERGEPAINT,223.1,225.05,-0.0087,0.0157,0.0154,0.2942,,,#N/A
09-Nov-15,BFINVEST,133.65,132.95,0.0053,0.0426,0.0413,0.789,,,#N/A
09-Nov-15,BFUTILITIE,576.5,567.1,0.0164,0.0426,0.0415,0.7929,,,#N/A
09-Nov-15,BGLOBAL,3.8,3.95,-0.0387,0.028,0.0288,0.5502,,,#N/A
09-Nov-15,BGRENERGY,110.25,108.9,0.0123,0.0267,0.0261,0.4986,,,#N/A
09-Nov-15,BHAGYNAGAR,18.45,18,0.0247,0.0356,0.035,0.6687,,,#N/A
09-Nov-15,BHARATFORG,880.85,866.45,0.0165,0.0273,0.0268,0.512,,,#N/A
09-Nov-15,BHARATGEAR,80.85,82.55,-0.0208,0.0355,0.0348,0.6649,,,#N/A
09-Nov-15,BHARATRAS,890.95,888,0.0033,0.024,0.0233,0.4451,,,#N/A
09-Nov-15,BHARTIARTL,335.25,339.2,-0.0117,0.0177,0.0174,0.3324,,,#N/A
09-Nov-15,BHEL,184.55,191.45,-0.0367,0.0218,0.023,0.4394,,,#N/A
09-Nov-15,BHUSANSTL,41.45,42,-0.0132,0.0185,0.0182,0.3477,,,#N/A
09-Nov-15,BIL,567.05,569.05,-0.0035,0.024,0.0233,0.4451,,,#N/A
