Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
15-JUL-2011,20MICRONS,50.60,48.55,0.0414,0.0236,0.0250,0.4776
15-JUL-2011,3IINFOTECH,44.20,44.70,-0.0112,0.0205,0.0201,0.3840
15-JUL-2011,3MINDIA,4167.45,4153.50,0.0034,0.0132,0.0128,0.2445
15-JUL-2011,A2ZMES,268.15,256.65,0.0438,0.0347,0.0353,0.6744
15-JUL-2011,AANJANEYA,383.70,376.00,0.0203,0.0367,0.0359,0.6859
15-JUL-2011,AARTIDRUGS,134.00,132.95,0.0079,0.0174,0.0170,0.3248
15-JUL-2011,AARTIIND,49.35,49.10,0.0051,0.0200,0.0194,0.3706
15-JUL-2011,AARVEEDEN,50.60,50.45,0.0030,0.0314,0.0305,0.5827
15-JUL-2011,ABAN,525.90,529.15,-0.0062,0.0194,0.0189,0.3611
15-JUL-2011,ABB,883.80,877.80,0.0068,0.0114,0.0112,0.2140
15-JUL-2011,ABBOTINDIA,1501.45,1502.15,-0.0005,0.0118,0.0114,0.2178
15-JUL-2011,ABCIL,130.10,128.50,0.0124,0.0232,0.0227,0.4337
15-JUL-2011,ABGSHIP,379.10,377.95,0.0030,0.0190,0.0184,0.3515
15-JUL-2011,ABHISHEK,13.70,13.75,-0.0036,0.0259,0.0251,0.4795
15-JUL-2011,ABIRLANUVO,920.50,911.95,0.0093,0.0132,0.0130,0.2484
15-JUL-2011,ACC,980.15,978.75,0.0014,0.0156,0.0151,0.2885
15-JUL-2011,ACE,44.95,45.55,-0.0133,0.0150,0.0149,0.2847
15-JUL-2011,ACKRUTI,193.50,193.80,-0.0015,0.0131,0.0127,0.2426
15-JUL-2011,ACROPETAL,17.05,17.05,0.0000,0.0251,0.0243,0.4643
15-JUL-2011,ADANIENT,715.60,714.90,0.0010,0.0164,0.0159,0.3038
15-JUL-2011,ADANIPOWER,113.65,111.85,0.0160,0.0108,0.0112,0.2140
15-JUL-2011,ADFFOODS,71.20,71.90,-0.0098,0.0372,0.0361,0.6897
15-JUL-2011,ADHUNIK,78.40,79.10,-0.0089,0.0312,0.0303,0.5789
