Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
16-MAR-2017,20MICRONS,35.90,35.65,0.0070,0.0224,0.0218,0.4165
16-MAR-2017,3IINFOTECH,5.00,5.00,0.0000,0.0189,0.0183,0.3496
16-MAR-2017,3MINDIA,11187.65,11078.40,0.0098,0.0118,0.0117,0.2235
16-MAR-2017,63MOONS,78.10,78.00,0.0013,0.0132,0.0128,0.2445
16-MAR-2017,8KMILES,624.10,620.90,0.0051,0.0225,0.0219,0.4184
16-MAR-2017,A2ZINFRA,42.60,41.70,0.0214,0.0218,0.0218,0.4165
16-MAR-2017,AARTIDRUGS,583.40,576.80,0.0114,0.0089,0.0091,0.1739
16-MAR-2017,AARTIIND,796.70,791.15,0.0070,0.0172,0.0168,0.3210
16-MAR-2017,AARVEEDEN,74.40,74.70,-0.0040,0.0236,0.0229,0.4375
16-MAR-2017,ABAN,225.20,223.55,0.0074,0.0165,0.0161,0.3076
16-MAR-2017,ABB,1205.35,1210.35,-0.0041,0.0180,0.0175,0.3343
16-MAR-2017,ABBOTINDIA,4587.55,4498.15,0.0197,0.0071,0.0084,0.1605
16-MAR-2017,ABFRL,152.75,148.75,0.0265,0.0145,0.0155,0.2961
16-MAR-2017,ABGSHIP,21.05,20.05,0.0487,0.0268,0.0286,0.5464
16-MAR-2017,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
16-MAR-2017,ABIRLANUVO,1526.55,1519.65,0.0045,0.0180,0.0175,0.3343
16-MAR-2017,ABMINTLTD,37.35,213.60,-1.7438,0.0334,0.4284,8.1846
16-MAR-2017,ACC,1422.00,1414.40,0.0054,0.0115,0.0112,0.2140
16-MAR-2017,ACCELYA,1397.45,1427.85,-0.0215,0.0188,0.0190,0.3630
16-MAR-2017,ACE,54.20,54.10,0.0018,0.0232,0.0225,0.4299
16-MAR-2017,ADANIENT,102.75,101.20,0.0152,0.0282,0.0276,0.5273
16-MAR-2017,ADANIPORTS,325.70,310.30,0.0484,0.0172,0.0205,0.3917
16-MAR-2017,ADANIPOWER,39.90,38.90,0.0254,0.0282,0.0280,0.5349
16-MAR-2017,ADANITRANS,65.40,66.05,-0.0099,0.0229,0.0223,0.4260
16-MAR-2017,ADFFOODS,165.75,167.30,-0.0093,0.0264,0.0257,0.4910
16-MAR-2017,ADHUNIK,7.20,7.15,0.0070,0.0356,0.0346,0.6610
16-MAR-2017,ADHUNIKIND,103.05,103.25,-0.0019,0.0367,0.0356,0.6801
16-MAR-2017,ADLABS,84.95,81.70,0.0390,0.0269,0.0278,0.5311
16-MAR-2017,ADORWELD,302.35,300.35,0.0066,0.0145,0.0142,0.2713
16-MAR-2017,ADSL,29.70,28.85,0.0290,0.0181,0.0189,0.3611
16-MAR-2017,ADVANIHOTR,55.65,56.20,-0.0098,0.0405,0.0393,0.7508
16-MAR-2017,ADVENZYMES,1734.95,1730.35,0.0027,0.0223,0.0216,0.4127
16-MAR-2017,AEGISCHEM,208.60,208.10,0.0024,0.0303,0.0294,0.5617
16-MAR-2017,AFL,71.85,66.55,0.0766,0.0370,0.0405,0.7738
16-MAR-2017,AGARIND,551.40,560.00,-0.0155,0.0402,0.0392,0.7489
16-MAR-2017,AGCNET,85.55,82.70,0.0339,0.0185,0.0198,0.3783
16-MAR-2017,AGRITECH,40.00,38.15,0.0474,0.0381,0.0387,0.7394
16-MAR-2017,AHLEAST,220.40,219.30,0.0050,0.0203,0.0197,0.3764
16-MAR-2017,AHLUCONT,311.20,310.85,0.0011,0.0161,0.0156,0.2980
16-MAR-2017,AHLWEST,220.00,219.50,0.0023,0.0189,0.0183,0.3496
16-MAR-2017,AIAENG,1495.10,1479.65,0.0104,0.0177,0.0173,0.3305
16-MAR-2017,AICHAMP,30.00,30.00,0.0000,0.0283,0.0274,0.5235
16-MAR-2017,AIFL,382.15,384.70,-0.0067,0.0208,0.0202,0.3859
16-MAR-2017,AJANTPHARM,1763.80,1743.25,0.0117,0.0107,0.0108,0.2063
16-MAR-2017,AJMERA,190.55,189.95,0.0032,0.0227,0.0220,0.4203
16-MAR-2017,AKSHOPTFBR,23.80,22.15,0.0718,0.0171,0.0242,0.4623
16-MAR-2017,AKZOINDIA,1604.50,1608.70,-0.0026,0.0122,0.0118,0.2254
16-MAR-2017,ALANKIT,23.55,24.50,-0.0395,0.0232,0.0245,0.4681
16-MAR-2017,ALBERTDAVD,332.60,330.30,0.0069,0.0139,0.0136,0.2598
16-MAR-2017,ALBK,71.85,70.40,0.0204,0.0195,0.0196,0.3745
16-MAR-2017,ALCHEM,24.50,24.40,0.0041,0.0334,0.0324,0.6190
16-MAR-2017,ALEMBICLTD,36.95,35.85,0.0302,0.0205,0.0212,0.4050
16-MAR-2017,ALICON,418.85,414.60,0.0102,0.0194,0.0190,0.3630
16-MAR-2017,ALKALI,78.50,76.00,0.0324,0.0233,0.0239,0.4566
16-MAR-2017,ALKEM,1953.50,1927.50,0.0134,0.0186,0.0183,0.3496
16-MAR-2017,ALKYLAMINE,373.45,372.35,0.0029,0.0175,0.0170,0.3248
16-MAR-2017,ALLCARGO,169.55,167.95,0.0095,0.0157,0.0154,0.2942
16-MAR-2017,ALLSEC,388.95,392.55,-0.0092,0.0222,0.0216,0.4127
16-MAR-2017,ALMONDZ,14.65,14.10,0.0383,0.0360,0.0361,0.6897
16-MAR-2017,ALOKTEXT,3.10,3.10,0.0000,0.0269,0.0261,0.4986
