Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
12-FEB-2016,20MICRONS,26.40,26.55,-0.0057,0.0346,0.0336,0.6419
12-FEB-2016,3IINFOTECH,4.10,4.35,-0.0592,0.0404,0.0418,0.7986
12-FEB-2016,3MINDIA,10623.40,10708.10,-0.0079,0.0365,0.0354,0.6763
12-FEB-2016,8KMILES,1503.90,1429.45,0.0508,0.0684,0.0675,1.2896
12-FEB-2016,A2ZINFRA,18.90,19.15,-0.0131,0.0501,0.0487,0.9304
12-FEB-2016,AARTIDRUGS,476.75,465.50,0.0239,0.0213,0.0215,0.4108
12-FEB-2016,AARTIIND,446.20,469.20,-0.0503,0.0259,0.0280,0.5349
12-FEB-2016,AARVEEDEN,48.65,51.15,-0.0501,0.0498,0.0498,0.9514
12-FEB-2016,ABAN,147.35,153.85,-0.0432,0.0279,0.0290,0.5540
12-FEB-2016,ABB,1039.40,1086.05,-0.0439,0.0364,0.0369,0.7050
12-FEB-2016,ABBOTINDIA,4797.60,4799.60,-0.0004,0.0157,0.0152,0.2904
12-FEB-2016,ABFRL,147.90,162.25,-0.0926,0.0457,0.0498,0.9514
12-FEB-2016,ABGSHIP,42.45,44.80,-0.0539,0.0343,0.0358,0.6840
12-FEB-2016,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
12-FEB-2016,ABIRLANUVO,746.10,761.00,-0.0198,0.0373,0.0365,0.6973
12-FEB-2016,ACC,1221.05,1234.00,-0.0105,0.0135,0.0133,0.2541
12-FEB-2016,ACCELYA,860.25,875.70,-0.0178,0.0212,0.0210,0.4012
12-FEB-2016,ACE,34.10,35.15,-0.0303,0.0247,0.0251,0.4795
12-FEB-2016,ACROPETAL,2.90,2.80,0.0351,0.0490,0.0483,0.9228
12-FEB-2016,ADANIENT,64.20,67.90,-0.0560,0.0327,0.0345,0.6591
12-FEB-2016,ADANIPORTS,178.05,186.85,-0.0482,0.0317,0.0329,0.6286
