Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
05-NOV-2015,20MICRONS,29.85,30.20,-0.0117,0.0342,0.0333,0.6362
05-NOV-2015,3IINFOTECH,3.85,3.70,0.0397,0.0360,0.0362,0.6916
05-NOV-2015,3MINDIA,11381.25,11702.65,-0.0278,0.0211,0.0216,0.4127
05-NOV-2015,8KMILES,1797.20,1846.20,-0.0269,0.0330,0.0327,0.6247
05-NOV-2015,A2ZINFRA,23.25,24.05,-0.0338,0.0269,0.0274,0.5235
05-NOV-2015,AARTIDRUGS,568.25,583.50,-0.0265,0.0184,0.0190,0.3630
05-NOV-2015,AARTIIND,514.90,529.80,-0.0285,0.0195,0.0202,0.3859
05-NOV-2015,AARVEEDEN,51.40,51.55,-0.0029,0.0294,0.0285,0.5445
05-NOV-2015,ABAN,221.90,222.15,-0.0011,0.0198,0.0192,0.3668
05-NOV-2015,ABB,1240.15,1251.20,-0.0089,0.0206,0.0201,0.3840
05-NOV-2015,ABBOTINDIA,5437.35,5462.10,-0.0045,0.0140,0.0136,0.2598
05-NOV-2015,ABCIL,225.35,227.15,-0.0080,0.0102,0.0101,0.1930
05-NOV-2015,ABGSHIP,97.75,94.35,0.0354,0.0533,0.0524,1.0011
05-NOV-2015,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
05-NOV-2015,ABIRLANUVO,2016.35,2048.05,-0.0156,0.0140,0.0141,0.2694
05-NOV-2015,ACC,1388.75,1405.70,-0.0121,0.0117,0.0117,0.2235
05-NOV-2015,ACCELYA,917.90,937.95,-0.0216,0.0129,0.0136,0.2598
05-NOV-2015,ACE,44.10,43.90,0.0045,0.0316,0.0307,0.5865
05-NOV-2015,ACROPETAL,2.75,2.85,-0.0357,0.0326,0.0328,0.6266
05-NOV-2015,ADANIENT,81.55,85.20,-0.0438,0.0341,0.0348,0.6649
05-NOV-2015,ADANIPORTS,284.10,289.45,-0.0187,0.0186,0.0186,0.3554
05-NOV-2015,ADANIPOWER,30.05,30.70,-0.0214,0.0316,0.0311,0.5942
05-NOV-2015,ADANITRANS,34.20,35.15,-0.0274,0.0442,0.0434,0.8292
05-NOV-2015,ADFFOODS,88.40,92.10,-0.0410,0.0321,0.0327,0.6247
05-NOV-2015,ADHUNIK,14.75,14.80,-0.0034,0.0218,0.0212,0.4050
05-NOV-2015,ADI,227.15,212.35,0.0674,0.0305,0.0339,0.6477
05-NOV-2015,ADLABS,107.20,106.10,0.0103,0.0353,0.0343,0.6553
05-NOV-2015,ADORWELD,246.90,259.15,-0.0484,0.0230,0.0253,0.4834
05-NOV-2015,ADSL,34.40,35.75,-0.0385,0.0445,0.0442,0.8444
05-NOV-2015,ADVANIHOTR,46.00,46.00,0.0000,0.0262,0.0254,0.4853
05-NOV-2015,ADVANTA,508.40,510.35,-0.0038,0.0207,0.0201,0.3840
05-NOV-2015,AEGISCHEM,94.65,96.00,-0.0142,0.0553,0.0537,1.0259
05-NOV-2015,AFL,73.15,77.00,-0.0513,0.0414,0.0421,0.8043
05-NOV-2015,AGARIND,148.60,141.00,0.0525,0.0351,0.0364,0.6954
05-NOV-2015,AGCNET,94.95,98.50,-0.0367,0.0257,0.0265,0.5063
05-NOV-2015,AGRITECH,5.90,5.90,0.0000,0.0654,0.0634,1.2113
05-NOV-2015,AGRODUTCH,3.75,3.60,0.0408,0.0558,0.0550,1.0508
05-NOV-2015,AHLEAST,142.60,142.10,0.0035,0.0215,0.0209,0.3993
05-NOV-2015,AHLUCONT,238.40,240.55,-0.0090,0.0195,0.0190,0.3630
05-NOV-2015,AHLWEST,121.00,118.95,0.0171,0.0231,0.0228,0.4356
05-NOV-2015,AIAENG,931.70,916.95,0.0160,0.0155,0.0155,0.2961
05-NOV-2015,AICHAMP,15.85,15.10,0.0485,0.0195,0.0223,0.4260
05-NOV-2015,AIL,618.75,627.40,-0.0139,0.0152,0.0151,0.2885
05-NOV-2015,AJANTPHARM,1502.60,1522.15,-0.0129,0.0177,0.0175,0.3343
05-NOV-2015,AJMERA,118.20,120.65,-0.0205,0.0305,0.0300,0.5731
05-NOV-2015,AKSHOPTFBR,17.50,17.75,-0.0142,0.0338,0.0330,0.6305
05-NOV-2015,AKZOINDIA,1335.75,1355.65,-0.0148,0.0143,0.0143,0.2732
05-NOV-2015,ALANKIT,51.60,53.25,-0.0315,0.0273,0.0276,0.5273
05-NOV-2015,ALBK,74.40,75.50,-0.0147,0.0160,0.0159,0.3038
05-NOV-2015,ALCHEM,20.90,21.20,-0.0143,0.0254,0.0249,0.4757
05-NOV-2015,ALEMBICLTD,42.15,43.45,-0.0304,0.0330,0.0328,0.6266
05-NOV-2015,ALICON,339.00,336.50,0.0074,0.0239,0.0232,0.4432
05-NOV-2015,ALKALI,42.20,43.95,-0.0406,0.0335,0.0340,0.6496
05-NOV-2015,ALKYLAMINE,308.80,311.05,-0.0073,0.0153,0.0149,0.2847
05-NOV-2015,ALLCARGO,318.95,325.65,-0.0208,0.0182,0.0184,0.3515
05-NOV-2015,ALLSEC,73.90,72.90,0.0136,0.0356,0.0347,0.6629
05-NOV-2015,ALMONDZ,10.40,10.00,0.0392,0.0406,0.0405,0.7738
05-NOV-2015,ALOKTEXT,6.60,6.65,-0.0075,0.0257,0.0250,0.4776
05-NOV-2015,ALPA,31.70,33.35,-0.0507,0.0406,0.0413,0.7890
05-NOV-2015,ALPHAGEO,537.50,557.30,-0.0362,0.0304,0.0308,0.5884
05-NOV-2015,ALPSINDUS,4.60,4.75,-0.0321,0.0313,0.0313,0.5980
