Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
28-JUL-2017,20MICRONS,38.90,38.65,0.0064,0.0202,0.0196,0.3745
28-JUL-2017,3IINFOTECH,4.30,4.35,-0.0116,0.0259,0.0253,0.4834
28-JUL-2017,3MINDIA,13383.05,13226.25,0.0118,0.0126,0.0126,0.2407
28-JUL-2017,63MOONS,63.30,63.30,0.0000,0.0134,0.0130,0.2484
28-JUL-2017,8KMILES,539.10,535.85,0.0060,0.0174,0.0169,0.3229
28-JUL-2017,A2ZINFRA,41.35,41.15,0.0048,0.0245,0.0238,0.4547
28-JUL-2017,AARTIDRUGS,565.70,565.15,0.0010,0.0157,0.0152,0.2904
28-JUL-2017,AARTIIND,984.35,986.50,-0.0022,0.0167,0.0162,0.3095
28-JUL-2017,AARVEEDEN,62.60,63.30,-0.0111,0.0219,0.0214,0.4088
28-JUL-2017,ABAN,183.55,184.05,-0.0027,0.0173,0.0168,0.3210
28-JUL-2017,ABB,1418.70,1429.30,-0.0074,0.0123,0.0121,0.2312
28-JUL-2017,ABBOTINDIA,4276.85,4231.30,0.0107,0.0150,0.0148,0.2828
28-JUL-2017,ABFRL,168.00,169.70,-0.0101,0.0196,0.0192,0.3668
28-JUL-2017,ABGSHIP,13.80,13.85,-0.0036,0.0364,0.0353,0.6744
28-JUL-2017,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
28-JUL-2017,ABMINTLTD,84.05,80.05,0.0488,0.0527,0.0525,1.0030
28-JUL-2017,ACC,1731.20,1732.00,-0.0005,0.0137,0.0133,0.2541
28-JUL-2017,ACCELYA,1417.25,1394.25,0.0164,0.0160,0.0160,0.3057
28-JUL-2017,ACE,70.25,69.70,0.0079,0.0243,0.0236,0.4509
28-JUL-2017,ADANIENT,138.70,138.50,0.0014,0.0211,0.0205,0.3917
28-JUL-2017,ADANIPORTS,395.75,392.50,0.0082,0.0111,0.0109,0.2082
28-JUL-2017,ADANIPOWER,33.70,33.95,-0.0074,0.0291,0.0283,0.5407
28-JUL-2017,ADANITRANS,126.30,127.40,-0.0087,0.0220,0.0214,0.4088
28-JUL-2017,ADFFOODS,226.50,233.00,-0.0283,0.0217,0.0222,0.4241
28-JUL-2017,ADHUNIK,5.90,5.90,0.0000,0.0234,0.0227,0.4337
28-JUL-2017,ADHUNIKIND,98.30,98.75,-0.0046,0.0126,0.0123,0.2350
28-JUL-2017,ADLABS,70.15,72.05,-0.0267,0.0222,0.0225,0.4299
28-JUL-2017,ADORWELD,394.05,395.85,-0.0046,0.0252,0.0245,0.4681
28-JUL-2017,ADSL,25.45,25.10,0.0138,0.0223,0.0219,0.4184
28-JUL-2017,ADVANIHOTR,63.65,66.25,-0.0400,0.0327,0.0332,0.6343
28-JUL-2017,ADVENZYMES,328.00,333.45,-0.0165,0.0172,0.0172,0.3286
28-JUL-2017,AEGISCHEM,188.05,188.05,0.0000,0.0154,0.0149,0.2847
28-JUL-2017,AFL,46.90,47.95,-0.0221,0.0339,0.0333,0.6362
28-JUL-2017,AGARIND,617.35,601.15,0.0266,0.0145,0.0155,0.2961
28-JUL-2017,AGCNET,117.00,121.00,-0.0336,0.0258,0.0263,0.5025
28-JUL-2017,AGLSL,146.65,147.00,-0.0024,0.0234,0.0227,0.4337
28-JUL-2017,AGRITECH,60.60,60.60,0.0000,0.0305,0.0296,0.5655
28-JUL-2017,AHLEAST,275.45,277.95,-0.0090,0.0137,0.0135,0.2579
28-JUL-2017,AHLUCONT,275.80,275.40,0.0015,0.0258,0.0250,0.4776
28-JUL-2017,AHLWEST,175.15,170.20,0.0287,0.0238,0.0241,0.4604
28-JUL-2017,AIAENG,1455.30,1429.70,0.0177,0.0171,0.0171,0.3267
28-JUL-2017,AICHAMP,27.70,27.70,0.0000,0.0270,0.0262,0.5006
28-JUL-2017,AIFL,402.80,405.15,-0.0058,0.0125,0.0122,0.2331
28-JUL-2017,AJANTPHARM,1420.90,1410.45,0.0074,0.0122,0.0120,0.2293
28-JUL-2017,AJMERA,203.25,201.20,0.0101,0.0198,0.0194,0.3706
28-JUL-2017,AKSHARCHEM,841.65,809.20,0.0393,0.0230,0.0243,0.4643
28-JUL-2017,AKSHOPTFBR,25.90,26.55,-0.0248,0.0526,0.0514,0.9820
28-JUL-2017,AKZOINDIA,1802.10,1817.95,-0.0088,0.0116,0.0114,0.2178
28-JUL-2017,ALANKIT,34.75,35.15,-0.0114,0.0230,0.0225,0.4299
28-JUL-2017,ALBERTDAVD,327.40,325.00,0.0074,0.0164,0.0160,0.3057
28-JUL-2017,ALBK,74.95,74.50,0.0060,0.0204,0.0198,0.3783
28-JUL-2017,ALCHEM,14.80,15.00,-0.0134,0.0251,0.0246,0.4700
28-JUL-2017,ALEMBICLTD,41.55,42.10,-0.0132,0.0261,0.0255,0.4872
28-JUL-2017,ALICON,589.00,601.15,-0.0204,0.0395,0.0386,0.7375
28-JUL-2017,ALKALI,68.30,68.05,0.0037,0.0236,0.0229,0.4375
28-JUL-2017,ALKEM,1809.20,1843.05,-0.0185,0.0131,0.0135,0.2579
28-JUL-2017,ALKYLAMINE,413.65,413.85,-0.0005,0.0208,0.0202,0.3859
28-JUL-2017,ALLCARGO,171.10,170.20,0.0053,0.0102,0.0100,0.1910
28-JUL-2017,ALLSEC,350.10,355.90,-0.0164,0.0221,0.0218,0.4165
28-JUL-2017,ALMONDZ,24.60,24.50,0.0041,0.0503,0.0488,0.9323
28-JUL-2017,ALOKTEXT,3.80,3.85,-0.0131,0.0643,0.0624,1.1922
28-JUL-2017,ALPA,32.55,33.15,-0.0183,0.0221,0.0219,0.4184
28-JUL-2017,ALPHAGEO,852.65,854.05,-0.0016,0.0168,0.0163,0.3114
28-JUL-2017,ALPSINDUS,6.00,6.00,0.0000,0.0251,0.0243,0.4643
28-JUL-2017,AMARAJABAT,840.50,842.70,-0.0026,0.0085,0.0083,0.1586
28-JUL-2017,AMBIKCO,1303.95,1294.10,0.0076,0.0083,0.0083,0.1586
28-JUL-2017,AMBUJACEM,262.60,264.60,-0.0076,0.0111,0.0109,0.2082
28-JUL-2017,AMDIND,29.55,29.45,0.0034,0.0198,0.0192,0.3668
28-JUL-2017,AMRUTANJAN,640.50,644.85,-0.0068,0.0118,0.0116,0.2216
28-JUL-2017,AMTEKAUTO,29.05,28.40,0.0226,0.0423,0.0414,0.7909
28-JUL-2017,ANANDAMRUB,34.50,34.50,0.0000,0.0189,0.0183,0.3496
28-JUL-2017,ANANTRAJ,63.80,63.20,0.0094,0.0273,0.0266,0.5082
28-JUL-2017,ANDHRABANK,56.65,56.75,-0.0018,0.0187,0.0181,0.3458
28-JUL-2017,ANDHRACEMT,9.95,10.05,-0.0100,0.0315,0.0306,0.5846
28-JUL-2017,ANDHRSUGAR,353.25,347.60,0.0161,0.0146,0.0147,0.2808
28-JUL-2017,ANGIND,7.75,7.85,-0.0128,0.0223,0.0218,0.4165
28-JUL-2017,ANIKINDS,32.85,32.65,0.0061,0.0339,0.0329,0.6286
28-JUL-2017,ANKITMETAL,1.35,1.40,-0.0364,0.0411,0.0408,0.7795
28-JUL-2017,ANSALAPI,27.65,27.75,-0.0036,0.0327,0.0317,0.6056
28-JUL-2017,ANSALHSG,26.30,26.30,0.0000,0.0223,0.0216,0.4127
