Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
18-JUN-2015,20MICRONS,32.20,32.30,-0.0031,0.0232,0.0225,0.4299
18-JUN-2015,3IINFOTECH,5.30,5.05,0.0483,0.0504,0.0503,0.9610
18-JUN-2015,3MINDIA,8280.70,8197.45,0.0101,0.0251,0.0245,0.4681
18-JUN-2015,8KMILES,736.60,699.45,0.0518,0.0293,0.0311,0.5942
18-JUN-2015,A2ZINFRA,13.85,13.15,0.0519,0.0314,0.0330,0.6305
18-JUN-2015,AARTIDRUGS,605.90,605.85,0.0001,0.0383,0.0371,0.7088
18-JUN-2015,AARTIIND,322.95,319.65,0.0103,0.0257,0.0250,0.4776
18-JUN-2015,AARVEEDEN,40.50,40.85,-0.0086,0.0276,0.0268,0.5120
18-JUN-2015,ABAN,320.00,311.55,0.0268,0.0233,0.0235,0.4490
18-JUN-2015,ABB,1311.30,1315.35,-0.0031,0.0186,0.0180,0.3439
18-JUN-2015,ABBOTINDIA,3857.25,3822.00,0.0092,0.0139,0.0137,0.2617
18-JUN-2015,ABCIL,206.35,206.80,-0.0022,0.0157,0.0152,0.2904
18-JUN-2015,ABGSHIP,172.25,172.35,-0.0006,0.0621,0.0602,1.1501
18-JUN-2015,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
18-JUN-2015,ABIRLANUVO,1743.20,1716.80,0.0153,0.0180,0.0178,0.3401
18-JUN-2015,ACC,1413.75,1410.60,0.0022,0.0170,0.0165,0.3152
18-JUN-2015,ACCELYA,995.35,1000.40,-0.0051,0.0114,0.0111,0.2121
18-JUN-2015,ACE,45.75,42.90,0.0643,0.0357,0.0380,0.7260
18-JUN-2015,ACROPETAL,2.85,2.70,0.0541,0.0410,0.0419,0.8005
18-JUN-2015,ADANIENT,99.65,99.25,0.0040,0.0589,0.0571,1.0909
18-JUN-2015,ADANIPORTS,311.00,311.00,0.0000,0.0234,0.0227,0.4337
18-JUN-2015,ADANIPOWER,27.45,29.40,-0.0686,0.0309,0.0344,0.6572
18-JUN-2015,ADFFOODS,63.05,63.50,-0.0071,0.0239,0.0232,0.4432
18-JUN-2015,ADHUNIK,14.80,14.70,0.0068,0.0251,0.0244,0.4662
18-JUN-2015,ADI,254.10,264.30,-0.0394,0.0212,0.0227,0.4337
18-JUN-2015,ADLABS,158.60,149.50,0.0591,0.0563,0.0565,1.0794
18-JUN-2015,ADORWELD,235.00,231.60,0.0146,0.0298,0.0291,0.5560
18-JUN-2015,ADSL,19.90,19.60,0.0152,0.0425,0.0414,0.7909
18-JUN-2015,ADVANIHOTR,53.00,52.50,0.0095,0.0586,0.0569,1.0871
18-JUN-2015,ADVANTA,418.60,418.60,0.0000,0.0331,0.0321,0.6133
18-JUN-2015,AEGISCHEM,726.55,725.35,0.0017,0.0234,0.0227,0.4337
18-JUN-2015,AFL,69.60,69.00,0.0087,0.0218,0.0212,0.4050
18-JUN-2015,AGARIND,101.85,99.75,0.0208,0.0271,0.0268,0.5120
18-JUN-2015,AGCNET,103.10,102.00,0.0107,0.0516,0.0501,0.9572
18-JUN-2015,AGRITECH,5.50,5.50,0.0000,0.0475,0.0461,0.8807
18-JUN-2015,AGRODUTCH,3.95,3.80,0.0387,0.0406,0.0405,0.7738
18-JUN-2015,AHLEAST,172.00,167.30,0.0277,0.0201,0.0206,0.3936
18-JUN-2015,AHLUCONT,206.50,206.15,0.0017,0.0396,0.0384,0.7336
18-JUN-2015,AHLWEST,111.40,107.00,0.0403,0.0233,0.0247,0.4719
18-JUN-2015,AIAENG,986.75,968.00,0.0192,0.0255,0.0252,0.4814
18-JUN-2015,AICHAMP,18.50,18.50,0.0000,0.0137,0.0133,0.2541
18-JUN-2015,AIL,738.00,736.70,0.0018,0.0111,0.0108,0.2063
18-JUN-2015,AJANTPHARM,1505.35,1445.20,0.0408,0.0284,0.0293,0.5598
18-JUN-2015,AJMERA,138.75,139.35,-0.0043,0.0446,0.0433,0.8272
18-JUN-2015,AKSHOPTFBR,13.95,13.80,0.0108,0.0269,0.0262,0.5006
18-JUN-2015,AKZOINDIA,1285.15,1269.00,0.0126,0.0133,0.0133,0.2541
18-JUN-2015,ALBK,90.15,89.85,0.0033,0.0242,0.0235,0.4490
18-JUN-2015,ALCHEM,22.55,22.75,-0.0088,0.0448,0.0435,0.8311
18-JUN-2015,ALEMBICLTD,35.80,32.00,0.1122,0.0290,0.0393,0.7508
18-JUN-2015,ALICON,272.90,270.15,0.0101,0.0250,0.0244,0.4662
18-JUN-2015,ALKALI,52.25,47.95,0.0859,0.0650,0.0664,1.2686
18-JUN-2015,ALKYLAMINE,265.30,259.65,0.0215,0.0242,0.0240,0.4585
18-JUN-2015,ALLCARGO,318.40,319.60,-0.0038,0.0152,0.0148,0.2828
18-JUN-2015,ALLSEC,24.05,23.10,0.0403,0.0216,0.0232,0.4432
18-JUN-2015,ALMONDZ,10.35,10.00,0.0344,0.0285,0.0289,0.5521
18-JUN-2015,ALOKTEXT,6.25,6.00,0.0408,0.0280,0.0289,0.5521
18-JUN-2015,ALPA,12.20,12.50,-0.0243,0.0313,0.0309,0.5903
18-JUN-2015,ALPHAGEO,390.60,392.65,-0.0052,0.0291,0.0282,0.5388
18-JUN-2015,ALPSINDUS,2.15,2.15,0.0000,0.0869,0.0843,1.6105
18-JUN-2015,ALSTOMT&D,533.85,521.05,0.0243,0.0164,0.0170,0.3248
18-JUN-2015,AMARAJABAT,886.45,872.50,0.0159,0.0167,0.0167,0.3191
18-JUN-2015,AMBIKCO,907.95,895.25,0.0141,0.0236,0.0231,0.4413
18-JUN-2015,AMBUJACEM,222.15,222.05,0.0005,0.0197,0.0191,0.3649
18-JUN-2015,AMDIND,21.20,20.70,0.0239,0.0231,0.0231,0.4413
18-JUN-2015,AMRUTANJAN,422.80,416.15,0.0159,0.0217,0.0214,0.4088
18-JUN-2015,AMTEKAUTO,133.60,152.65,-0.1333,0.0296,0.0435,0.8311
18-JUN-2015,AMTL,15.00,15.00,0.0000,0.0362,0.0351,0.6706
18-JUN-2015,ANANTRAJ,38.35,37.90,0.0118,0.0303,0.0295,0.5636
18-JUN-2015,ANDHRABANK,69.75,69.20,0.0079,0.0232,0.0226,0.4318
18-JUN-2015,ANDHRACEMT,6.80,6.75,0.0074,0.0253,0.0246,0.4700
18-JUN-2015,ANDHRSUGAR,94.65,93.70,0.0101,0.0206,0.0201,0.3840
18-JUN-2015,ANGIND,30.25,30.90,-0.0213,0.0362,0.0355,0.6782
18-JUN-2015,ANIKINDS,24.50,25.65,-0.0459,0.0306,0.0317,0.6056
18-JUN-2015,ANKITMETAL,2.50,2.40,0.0408,0.0664,0.0651,1.2437
18-JUN-2015,ANSALAPI,19.00,18.40,0.0321,0.0247,0.0252,0.4814
18-JUN-2015,ANSALHSG,23.85,23.90,-0.0021,0.0237,0.0230,0.4394
18-JUN-2015,ANTGRAPHIC,0.10,0.10,0.0000,0.2544,0.2466,4.7113
18-JUN-2015,APARINDS,329.25,328.55,0.0021,0.0125,0.0121,0.2312
18-JUN-2015,APCOTEXIND,451.20,444.35,0.0153,0.0226,0.0222,0.4241
18-JUN-2015,APLAPOLLO,392.75,411.15,-0.0458,0.0252,0.0269,0.5139
18-JUN-2015,APLLTD,614.60,584.40,0.0504,0.0215,0.0242,0.4623
18-JUN-2015,APOLLOHOSP,1189.40,1187.85,0.0013,0.0206,0.0200,0.3821
18-JUN-2015,APOLLOTYRE,166.70,167.15,-0.0027,0.0278,0.0270,0.5158
18-JUN-2015,APOLSINHOT,167.65,167.20,0.0027,0.0283,0.0274,0.5235
18-JUN-2015,APTECHT,54.60,53.60,0.0185,0.0175,0.0176,0.3362
18-JUN-2015,ARCHIDPLY,34.70,32.95,0.0517,0.0423,0.0429,0.8196
18-JUN-2015,ARCHIES,19.20,18.60,0.0317,0.0284,0.0286,0.5464
18-JUN-2015,ARCOTECH,346.65,346.25,0.0012,0.0082,0.0080,0.1528
18-JUN-2015,ARIES,93.50,94.70,-0.0128,0.0343,0.0334,0.6381
18-JUN-2015,ARIHANT,36.95,41.35,-0.1125,0.0513,0.0569,1.0871
18-JUN-2015,AROGRANITE,52.35,50.95,0.0271,0.0253,0.0254,0.4853
18-JUN-2015,ARROWCOAT,381.45,385.45,-0.0104,0.0352,0.0342,0.6534
18-JUN-2015,ARROWTEX,22.60,21.00,0.0734,0.0413,0.0439,0.8387
18-JUN-2015,ARSHIYA,38.75,39.05,-0.0077,0.0551,0.0535,1.0221
18-JUN-2015,ARSSINFRA,28.70,28.20,0.0176,0.0478,0.0465,0.8884
18-JUN-2015,ARVIND,236.00,235.50,0.0021,0.0316,0.0306,0.5846
18-JUN-2015,ARVINDREM,13.30,13.25,0.0038,0.0438,0.0425,0.8120
18-JUN-2015,ASAHIINDIA,154.50,155.70,-0.0077,0.0318,0.0309,0.5903
18-JUN-2015,ASAHISONG,116.15,115.80,0.0030,0.0253,0.0245,0.4681
18-JUN-2015,ASAL,37.25,37.25,0.0000,0.0330,0.0320,0.6114
18-JUN-2015,ASHAPURMIN,58.40,56.50,0.0331,0.0251,0.0256,0.4891
18-JUN-2015,ASHIANA,228.50,221.00,0.0334,0.0220,0.0228,0.4356
18-JUN-2015,ASHIMASYN,9.00,8.75,0.0282,0.0254,0.0256,0.4891
18-JUN-2015,ASHOKA,166.10,159.15,0.0427,0.0219,0.0237,0.4528
18-JUN-2015,ASHOKLEY,68.45,65.65,0.0418,0.0206,0.0224,0.4280
18-JUN-2015,ASIANHOTNR,100.00,98.55,0.0146,0.0234,0.0230,0.4394
18-JUN-2015,ASIANPAINT,728.95,710.65,0.0254,0.0174,0.0180,0.3439
18-JUN-2015,ASIANTILES,105.50,101.50,0.0387,0.0366,0.0367,0.7012
18-JUN-2015,ASIL,1.45,1.40,0.0351,0.0216,0.0226,0.4318
18-JUN-2015,ASSAMCO,3.55,3.45,0.0286,0.0254,0.0256,0.4891
18-JUN-2015,ASTEC,193.20,197.25,-0.0207,0.0378,0.0370,0.7069
18-JUN-2015,ASTRAL,383.50,387.10,-0.0093,0.0212,0.0207,0.3955
18-JUN-2015,ASTRAMICRO,106.15,104.50,0.0157,0.0218,0.0215,0.4108
18-JUN-2015,ASTRAZEN,1243.15,1239.60,0.0029,0.0573,0.0556,1.0622
18-JUN-2015,ATFL,586.90,587.80,-0.0015,0.0147,0.0143,0.2732
