Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
28-SEP-2016,20MICRONS,38.25,38.30,-0.0013,0.0265,0.0257,0.4910
28-SEP-2016,3IINFOTECH,5.80,5.60,0.0351,0.0387,0.0385,0.7355
28-SEP-2016,3MINDIA,13188.25,13101.65,0.0066,0.0098,0.0096,0.1834
28-SEP-2016,8KMILES,1999.45,1954.75,0.0226,0.0216,0.0217,0.4146
28-SEP-2016,A2ZINFRA,38.00,38.05,-0.0013,0.0285,0.0276,0.5273
28-SEP-2016,AARTIDRUGS,638.65,606.65,0.0514,0.0295,0.0313,0.5980
28-SEP-2016,AARTIIND,608.30,610.00,-0.0028,0.0161,0.0156,0.2980
28-SEP-2016,AARVEEDEN,77.50,75.25,0.0295,0.0297,0.0297,0.5674
28-SEP-2016,ABAN,203.85,205.70,-0.0090,0.0175,0.0171,0.3267
28-SEP-2016,ABB,1156.95,1151.70,0.0045,0.0087,0.0085,0.1624
28-SEP-2016,ABBOTINDIA,4698.00,4734.55,-0.0077,0.0091,0.0090,0.1719
28-SEP-2016,ABFRL,141.90,139.35,0.0181,0.0201,0.0200,0.3821
28-SEP-2016,ABGSHIP,30.45,30.70,-0.0082,0.0358,0.0348,0.6649
28-SEP-2016,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
28-SEP-2016,ABIRLANUVO,1387.10,1371.70,0.0112,0.0258,0.0252,0.4814
28-SEP-2016,ABMINTLTD,105.45,105.45,0.0000,0.0092,0.0089,0.1700
28-SEP-2016,ACC,1616.15,1608.40,0.0048,0.0169,0.0164,0.3133
28-SEP-2016,ACCELYA,1388.75,1386.70,0.0015,0.0208,0.0202,0.3859
28-SEP-2016,ACE,46.20,45.75,0.0098,0.0267,0.0260,0.4967
28-SEP-2016,ACROPETAL,1.90,2.00,-0.0513,0.0357,0.0368,0.7031
28-SEP-2016,ADANIENT,71.15,70.50,0.0092,0.0191,0.0187,0.3573
28-SEP-2016,ADANIPORTS,271.00,264.70,0.0235,0.0206,0.0208,0.3974
28-SEP-2016,ADANIPOWER,27.35,27.35,0.0000,0.0162,0.0157,0.2999
28-SEP-2016,ADANITRANS,40.05,39.45,0.0151,0.0195,0.0193,0.3687
28-SEP-2016,ADFFOODS,129.70,125.05,0.0365,0.0226,0.0237,0.4528
28-SEP-2016,ADHUNIK,7.75,7.75,0.0000,0.0185,0.0179,0.3420
28-SEP-2016,ADHUNIKIND,101.95,99.20,0.0273,0.0424,0.0417,0.7967
28-SEP-2016,ADI,425.30,428.00,-0.0063,0.0248,0.0241,0.4604
28-SEP-2016,ADLABS,108.70,109.05,-0.0032,0.0553,0.0536,1.0240
28-SEP-2016,ADORWELD,281.95,280.30,0.0059,0.0121,0.0118,0.2254
28-SEP-2016,ADSL,32.50,31.05,0.0456,0.0223,0.0243,0.4643
28-SEP-2016,ADVANIHOTR,55.80,55.05,0.0135,0.0218,0.0214,0.4088
28-SEP-2016,ADVENZYMES,1742.25,1722.90,0.0112,0.0266,0.0259,0.4948
28-SEP-2016,AEGISCHEM,162.20,160.85,0.0084,0.0268,0.0261,0.4986
28-SEP-2016,AFL,61.90,61.40,0.0081,0.0311,0.0302,0.5770
28-SEP-2016,AGARIND,233.25,235.10,-0.0079,0.0428,0.0415,0.7929
28-SEP-2016,AGCNET,83.35,82.65,0.0084,0.0440,0.0427,0.8158
28-SEP-2016,AGRITECH,27.70,26.50,0.0443,0.0400,0.0403,0.7699
28-SEP-2016,AHLEAST,200.00,200.00,0.0000,0.0229,0.0222,0.4241
28-SEP-2016,AHLUCONT,302.10,301.05,0.0035,0.0245,0.0238,0.4547
28-SEP-2016,AHLWEST,175.05,175.00,0.0003,0.0195,0.0189,0.3611
28-SEP-2016,AIAENG,1282.70,1247.60,0.0277,0.0219,0.0223,0.4260
28-SEP-2016,AICHAMP,29.65,29.65,0.0000,0.0228,0.0221,0.4222
28-SEP-2016,AIFL,353.95,361.40,-0.0208,0.0220,0.0219,0.4184
28-SEP-2016,AJANTPHARM,2074.90,2064.15,0.0052,0.0141,0.0137,0.2617
28-SEP-2016,AJMERA,145.35,144.10,0.0086,0.0163,0.0159,0.3038
28-SEP-2016,AKSHOPTFBR,20.45,20.50,-0.0024,0.0497,0.0482,0.9209
28-SEP-2016,AKZOINDIA,1701.70,1699.80,0.0011,0.0164,0.0159,0.3038
28-SEP-2016,ALANKIT,148.05,145.90,0.0146,0.0254,0.0249,0.4757
28-SEP-2016,ALBERTDAVD,312.95,312.35,0.0019,0.0177,0.0172,0.3286
28-SEP-2016,ALBK,81.70,79.60,0.0260,0.0229,0.0231,0.4413
28-SEP-2016,ALCHEM,29.45,24.55,0.1820,0.0199,0.0486,0.9285
28-SEP-2016,ALEMBICLTD,39.40,37.80,0.0415,0.0182,0.0204,0.3897
28-SEP-2016,ALICON,350.80,342.35,0.0244,0.0256,0.0255,0.4872
28-SEP-2016,ALKALI,59.90,59.55,0.0059,0.0202,0.0196,0.3745
28-SEP-2016,ALKEM,1844.85,1807.20,0.0206,0.0196,0.0197,0.3764
28-SEP-2016,ALKYLAMINE,324.35,322.95,0.0043,0.0161,0.0156,0.2980
28-SEP-2016,ALLCARGO,190.70,189.95,0.0039,0.0170,0.0165,0.3152
28-SEP-2016,ALLSEC,263.45,265.35,-0.0072,0.0225,0.0219,0.4184
28-SEP-2016,ALMONDZ,12.95,12.60,0.0274,0.0483,0.0473,0.9037
28-SEP-2016,ALOKTEXT,3.35,3.40,-0.0148,0.0340,0.0332,0.6343
28-SEP-2016,ALPA,35.10,34.80,0.0086,0.0263,0.0256,0.4891
28-SEP-2016,ALPHAGEO,1028.70,1007.30,0.0210,0.0306,0.0301,0.5751
28-SEP-2016,ALPSINDUS,6.05,6.15,-0.0164,0.0600,0.0583,1.1138
28-SEP-2016,AMARAJABAT,1028.00,1010.65,0.0170,0.0210,0.0208,0.3974
28-SEP-2016,AMBIKCO,816.25,811.75,0.0055,0.0074,0.0073,0.1395
28-SEP-2016,AMBUJACEM,260.80,258.15,0.0102,0.0167,0.0164,0.3133
28-SEP-2016,AMDIND,29.00,28.25,0.0262,0.0237,0.0239,0.4566
28-SEP-2016,AMRUTANJAN,440.40,441.80,-0.0032,0.0137,0.0133,0.2541
28-SEP-2016,AMTEKAUTO,48.25,48.25,0.0000,0.0285,0.0276,0.5273
28-SEP-2016,AMTL,29.15,28.80,0.0121,0.0327,0.0318,0.6075
28-SEP-2016,ANANDAMRUB,17.05,17.55,-0.0289,0.0334,0.0331,0.6324
28-SEP-2016,ANANTRAJ,59.40,57.95,0.0247,0.0264,0.0263,0.5025
28-SEP-2016,ANDHRABANK,59.70,59.00,0.0118,0.0222,0.0217,0.4146
28-SEP-2016,ANDHRACEMT,8.05,8.10,-0.0062,0.0213,0.0207,0.3955
28-SEP-2016,ANDHRSUGAR,216.85,216.55,0.0014,0.0232,0.0225,0.4299
28-SEP-2016,ANGIND,11.65,12.05,-0.0338,0.0229,0.0237,0.4528
28-SEP-2016,ANIKINDS,28.25,28.00,0.0089,0.0237,0.0231,0.4413
28-SEP-2016,ANKITMETAL,1.75,1.65,0.0588,0.0405,0.0418,0.7986
28-SEP-2016,ANSALAPI,19.25,19.10,0.0078,0.0152,0.0149,0.2847
28-SEP-2016,ANSALHSG,24.40,24.55,-0.0061,0.0222,0.0216,0.4127
28-SEP-2016,ANTGRAPHIC,0.80,0.80,0.0000,0.0533,0.0517,0.9877
28-SEP-2016,APARINDS,567.45,563.25,0.0074,0.0195,0.0190,0.3630
28-SEP-2016,APCOTEXIND,400.00,378.95,0.0541,0.0252,0.0278,0.5311
28-SEP-2016,APLAPOLLO,890.70,890.80,-0.0001,0.0179,0.0174,0.3324
28-SEP-2016,APLLTD,672.65,674.80,-0.0032,0.0146,0.0142,0.2713
28-SEP-2016,APOLLOHOSP,1359.10,1357.85,0.0009,0.0132,0.0128,0.2445
28-SEP-2016,APOLLOTYRE,220.45,215.25,0.0239,0.0243,0.0243,0.4643
28-SEP-2016,APOLSINHOT,290.70,306.00,-0.0513,0.0258,0.0280,0.5349
28-SEP-2016,APTECHT,172.45,164.25,0.0487,0.0435,0.0438,0.8368
28-SEP-2016,ARCHIDPLY,53.85,53.10,0.0140,0.0264,0.0258,0.4929
