Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
31-OCT-2013,20MICRONS,33.65,34.30,-0.0191,0.0363,0.0355,0.6782
31-OCT-2013,3IINFOTECH,5.95,5.95,0.0000,0.0484,0.0469,0.8960
31-OCT-2013,3MINDIA,3310.05,3320.85,-0.0033,0.0134,0.0130,0.2484
31-OCT-2013,A2ZMES,9.85,9.50,0.0362,0.0376,0.0375,0.7164
31-OCT-2013,AARTIDRUGS,190.70,188.30,0.0127,0.0188,0.0185,0.3534
31-OCT-2013,AARTIIND,79.65,80.30,-0.0081,0.0171,0.0167,0.3191
31-OCT-2013,AARVEEDEN,35.00,36.75,-0.0488,0.0264,0.0282,0.5388
31-OCT-2013,ABAN,253.65,244.55,0.0365,0.0246,0.0255,0.4872
31-OCT-2013,ABB,629.30,615.70,0.0218,0.0268,0.0265,0.5063
31-OCT-2013,ABBOTINDIA,1339.05,1343.50,-0.0033,0.0111,0.0108,0.2063
31-OCT-2013,ABCIL,88.10,86.30,0.0206,0.0211,0.0211,0.4031
31-OCT-2013,ABGSHIP,292.85,292.95,-0.0003,0.0349,0.0338,0.6457
31-OCT-2013,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
31-OCT-2013,ABIRLANUVO,1227.80,1213.90,0.0114,0.0195,0.0191,0.3649
31-OCT-2013,ACC,1134.85,1149.55,-0.0129,0.0178,0.0175,0.3343
31-OCT-2013,ACCELYA,590.15,594.25,-0.0069,0.0419,0.0407,0.7776
31-OCT-2013,ACE,12.15,12.20,-0.0041,0.0444,0.0431,0.8234
31-OCT-2013,ACROPETAL,5.30,5.20,0.0190,0.0312,0.0306,0.5846
31-OCT-2013,ADANIENT,207.65,211.05,-0.0162,0.0427,0.0416,0.7948
31-OCT-2013,ADANIPORTS,145.50,146.45,-0.0065,0.0243,0.0236,0.4509
31-OCT-2013,ADANIPOWER,32.70,32.30,0.0123,0.0256,0.0250,0.4776
31-OCT-2013,ADFFOODS,49.10,49.30,-0.0041,0.0342,0.0332,0.6343
31-OCT-2013,ADHUNIK,26.00,25.65,0.0136,0.0233,0.0228,0.4356
31-OCT-2013,ADORWELD,107.30,107.25,0.0005,0.0224,0.0217,0.4146
31-OCT-2013,ADSL,19.50,19.20,0.0155,0.0299,0.0292,0.5579
31-OCT-2013,ADVANIHOTR,28.40,28.40,0.0000,0.0089,0.0086,0.1643
31-OCT-2013,ADVANTA,113.05,112.50,0.0049,0.0273,0.0265,0.5063
31-OCT-2013,AEGISCHEM,151.05,157.70,-0.0431,0.0344,0.0350,0.6687
31-OCT-2013,AFL,30.10,29.45,0.0218,0.0635,0.0618,1.1807
31-OCT-2013,AFTEK,3.15,3.20,-0.0157,0.0313,0.0306,0.5846
31-OCT-2013,AGCNET,73.30,75.80,-0.0335,0.0278,0.0282,0.5388
