Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
15-OCT-2015,20MICRONS,30.40,29.95,0.0149,0.0345,0.0336,0.6419
15-OCT-2015,3IINFOTECH,3.70,3.70,0.0000,0.0410,0.0398,0.7604
15-OCT-2015,3MINDIA,11483.05,11423.15,0.0052,0.0243,0.0236,0.4509
15-OCT-2015,8KMILES,1690.55,1700.25,-0.0057,0.0454,0.0440,0.8406
15-OCT-2015,A2ZINFRA,25.00,25.20,-0.0080,0.0367,0.0356,0.6801
15-OCT-2015,AARTIDRUGS,603.75,607.00,-0.0054,0.0208,0.0202,0.3859
15-OCT-2015,AARTIIND,517.80,524.05,-0.0120,0.0264,0.0258,0.4929
15-OCT-2015,AARVEEDEN,52.75,53.25,-0.0094,0.0337,0.0328,0.6266
15-OCT-2015,ABAN,238.00,237.05,0.0040,0.0267,0.0259,0.4948
15-OCT-2015,ABB,1129.20,1101.15,0.0252,0.0211,0.0214,0.4088
15-OCT-2015,ABBOTINDIA,5574.20,5638.05,-0.0114,0.0181,0.0178,0.3401
15-OCT-2015,ABCIL,221.90,221.65,0.0011,0.0121,0.0117,0.2235
15-OCT-2015,ABGSHIP,134.55,134.90,-0.0026,0.0223,0.0216,0.4127
15-OCT-2015,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
15-OCT-2015,ABIRLANUVO,2153.10,2166.85,-0.0064,0.0175,0.0170,0.3248
15-OCT-2015,ACC,1371.25,1376.25,-0.0036,0.0120,0.0117,0.2235
15-OCT-2015,ACCELYA,936.65,953.30,-0.0176,0.0176,0.0176,0.3362
15-OCT-2015,ACE,42.95,41.00,0.0465,0.0313,0.0324,0.6190
15-OCT-2015,ACROPETAL,2.90,2.90,0.0000,0.0346,0.0335,0.6400
15-OCT-2015,ADANIENT,96.75,84.80,0.1318,0.0314,0.0444,0.8483
15-OCT-2015,ADANIPORTS,329.00,324.50,0.0138,0.0219,0.0215,0.4108
15-OCT-2015,ADANIPOWER,29.25,28.05,0.0419,0.0370,0.0373,0.7126
15-OCT-2015,ADANITRANS,29.85,28.25,0.0551,0.0289,0.0311,0.5942
