Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
28-MAR-2016,20MICRONS,27.55,28.45,-0.0321,0.0231,0.0237,0.4528
28-MAR-2016,3IINFOTECH,4.20,4.45,-0.0578,0.0272,0.0299,0.5712
28-MAR-2016,3MINDIA,10673.75,10799.55,-0.0117,0.0187,0.0184,0.3515
28-MAR-2016,8KMILES,1969.30,2064.85,-0.0474,0.0430,0.0433,0.8272
28-MAR-2016,A2ZINFRA,19.40,20.65,-0.0624,0.0368,0.0388,0.7413
28-MAR-2016,AARTIDRUGS,458.40,473.70,-0.0328,0.0162,0.0176,0.3362
28-MAR-2016,AARTIIND,471.60,466.65,0.0106,0.0209,0.0204,0.3897
28-MAR-2016,AARVEEDEN,52.30,53.00,-0.0133,0.0326,0.0318,0.6075
28-MAR-2016,ABAN,175.65,184.35,-0.0483,0.0291,0.0306,0.5846
28-MAR-2016,ABB,1242.90,1206.45,0.0298,0.0250,0.0253,0.4834
28-MAR-2016,ABBOTINDIA,4630.10,4737.15,-0.0229,0.0158,0.0163,0.3114
28-MAR-2016,ABFRL,135.85,140.00,-0.0301,0.0408,0.0402,0.7680
28-MAR-2016,ABGSHIP,59.85,71.55,-0.1786,0.0604,0.0731,1.3966
28-MAR-2016,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
28-MAR-2016,ABIRLANUVO,808.35,833.65,-0.0308,0.0246,0.0250,0.4776
28-MAR-2016,ACC,1377.55,1372.65,0.0036,0.0186,0.0181,0.3458
28-MAR-2016,ACCELYA,880.90,889.50,-0.0097,0.0131,0.0129,0.2465
28-MAR-2016,ACE,37.50,38.95,-0.0379,0.0282,0.0289,0.5521
28-MAR-2016,ACROPETAL,2.70,2.75,-0.0183,0.0332,0.0325,0.6209
28-MAR-2016,ADANIENT,68.40,71.20,-0.0401,0.0231,0.0245,0.4681
28-MAR-2016,ADANIPORTS,235.65,238.30,-0.0112,0.0261,0.0255,0.4872
28-MAR-2016,ADANIPOWER,30.15,31.80,-0.0533,0.0225,0.0254,0.4853
28-MAR-2016,ADANITRANS,32.20,34.15,-0.0588,0.0340,0.0360,0.6878
28-MAR-2016,ADFFOODS,80.00,78.75,0.0157,0.0275,0.0269,0.5139
28-MAR-2016,ADHUNIK,11.15,11.55,-0.0352,0.0344,0.0345,0.6591
28-MAR-2016,ADI,257.80,258.15,-0.0014,0.0446,0.0432,0.8253
28-MAR-2016,ADLABS,86.45,88.45,-0.0229,0.0380,0.0373,0.7126
28-MAR-2016,ADORWELD,270.00,258.80,0.0424,0.0288,0.0298,0.5693
28-MAR-2016,ADSL,37.20,37.80,-0.0160,0.0393,0.0383,0.7317
28-MAR-2016,ADVANIHOTR,47.10,46.75,0.0075,0.0296,0.0288,0.5502
28-MAR-2016,ADVANTA,461.35,465.20,-0.0083,0.0215,0.0209,0.3993
28-MAR-2016,AEGISCHEM,93.55,95.20,-0.0175,0.0327,0.0320,0.6114
28-MAR-2016,AFL,48.85,48.65,0.0041,0.0477,0.0463,0.8846
28-MAR-2016,AGARIND,133.45,134.45,-0.0075,0.0219,0.0213,0.4069
28-MAR-2016,AGCNET,66.25,67.60,-0.0202,0.0493,0.0481,0.9189
28-MAR-2016,AGRITECH,8.50,8.45,0.0059,0.0328,0.0318,0.6075
28-MAR-2016,AGRODUTCH,2.70,3.00,-0.1054,0.0347,0.0424,0.8101
28-MAR-2016,AHLEAST,133.10,138.95,-0.0430,0.0259,0.0272,0.5197
28-MAR-2016,AHLUCONT,269.55,270.75,-0.0044,0.0333,0.0323,0.6171
28-MAR-2016,AHLWEST,116.60,120.00,-0.0287,0.0232,0.0236,0.4509
28-MAR-2016,AIAENG,994.20,938.15,0.0580,0.0235,0.0269,0.5139
28-MAR-2016,AICHAMP,22.70,22.70,0.0000,0.0224,0.0217,0.4146
28-MAR-2016,AIFL,246.60,246.85,-0.0010,0.0233,0.0226,0.4318
28-MAR-2016,AIL,577.60,588.35,-0.0184,0.0225,0.0223,0.4260
28-MAR-2016,AJANTPHARM,1397.25,1404.05,-0.0049,0.0161,0.0157,0.2999
28-MAR-2016,AJMERA,127.30,134.05,-0.0517,0.0317,0.0332,0.6343
28-MAR-2016,AKSHOPTFBR,12.75,13.05,-0.0233,0.0242,0.0241,0.4604
28-MAR-2016,AKZOINDIA,1264.00,1271.95,-0.0063,0.0130,0.0127,0.2426
28-MAR-2016,ALANKIT,100.70,103.90,-0.0313,0.0314,0.0314,0.5999
28-MAR-2016,ALBK,51.35,52.90,-0.0297,0.0276,0.0277,0.5292
28-MAR-2016,ALCHEM,19.60,21.00,-0.0690,0.0262,0.0305,0.5827
28-MAR-2016,ALEMBICLTD,35.75,36.70,-0.0262,0.0219,0.0222,0.4241
28-MAR-2016,ALICON,289.15,291.55,-0.0083,0.0252,0.0245,0.4681
