Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
07-SEP-2011,20MICRONS,58.15,59.35,-0.0204,0.0377,0.0369,0.7050
07-SEP-2011,3IINFOTECH,29.15,28.25,0.0314,0.0337,0.0336,0.6419
07-SEP-2011,3MINDIA,4594.55,4529.35,0.0143,0.0240,0.0235,0.4490
07-SEP-2011,A2ZMES,190.55,186.50,0.0215,0.0361,0.0354,0.6763
07-SEP-2011,AANJANEYA,415.10,417.25,-0.0052,0.0377,0.0366,0.6992
07-SEP-2011,AARTIDRUGS,117.25,120.80,-0.0298,0.0206,0.0213,0.4069
07-SEP-2011,AARTIIND,48.45,49.55,-0.0224,0.0253,0.0251,0.4795
07-SEP-2011,AARVEEDEN,33.40,30.90,0.0778,0.0509,0.0529,1.0107
07-SEP-2011,ABAN,412.30,401.10,0.0275,0.0350,0.0346,0.6610
07-SEP-2011,ABB,858.10,848.25,0.0115,0.0165,0.0162,0.3095
07-SEP-2011,ABBOTINDIA,1570.85,1467.75,0.0679,0.0125,0.0206,0.3936
07-SEP-2011,ABCIL,106.20,103.80,0.0229,0.0212,0.0213,0.4069
07-SEP-2011,ABGSHIP,370.20,370.60,-0.0011,0.0213,0.0207,0.3955
07-SEP-2011,ABHISHEK,11.25,10.80,0.0408,0.0396,0.0397,0.7585
07-SEP-2011,ABIRLANUVO,959.75,962.30,-0.0027,0.0249,0.0242,0.4623
07-SEP-2011,ACC,1066.40,1016.85,0.0476,0.0117,0.0163,0.3114
07-SEP-2011,ACE,44.85,44.50,0.0078,0.0298,0.0290,0.5540
07-SEP-2011,ACKRUTI,195.80,195.45,0.0018,0.0164,0.0159,0.3038
07-SEP-2011,ACROPETAL,15.00,14.85,0.0101,0.0260,0.0253,0.4834
07-SEP-2011,ADANIENT,553.95,535.10,0.0346,0.0363,0.0362,0.6916
07-SEP-2011,ADANIPOWER,94.05,88.10,0.0654,0.0315,0.0345,0.6591
07-SEP-2011,ADFFOODS,55.90,54.90,0.0181,0.0313,0.0307,0.5865
07-SEP-2011,ADHUNIK,55.10,54.25,0.0155,0.0296,0.0289,0.5521
07-SEP-2011,ADORWELD,155.50,153.05,0.0159,0.0335,0.0327,0.6247
07-SEP-2011,ADSL,26.60,27.45,-0.0315,0.0457,0.0450,0.8597
07-SEP-2011,ADVANIHOTR,36.70,35.50,0.0332,0.0163,0.0178,0.3401
07-SEP-2011,ADVANTA,361.20,356.25,0.0138,0.0450,0.0438,0.8368
07-SEP-2011,AEGISCHEM,200.35,188.10,0.0631,0.0238,0.0278,0.5311
07-SEP-2011,AFL,38.00,37.50,0.0132,0.0288,0.0281,0.5368
07-SEP-2011,AFTEK,11.85,11.45,0.0343,0.0236,0.0244,0.4662
07-SEP-2011,AGCNET,105.35,108.95,-0.0336,0.0281,0.0285,0.5445
07-SEP-2011,AGRE,42.80,42.00,0.0189,0.0284,0.0279,0.5330
07-SEP-2011,AGRODUTCH,7.75,7.90,-0.0192,0.0341,0.0334,0.6381
07-SEP-2011,AHLEAST,297.35,303.10,-0.0192,0.0215,0.0214,0.4088
07-SEP-2011,AHLUCONT,116.60,114.25,0.0204,0.0261,0.0258,0.4929
07-SEP-2011,AHLWEST,155.55,151.65,0.0254,0.0224,0.0226,0.4318
07-SEP-2011,AHMEDFORGE,111.10,106.20,0.0451,0.0240,0.0258,0.4929
07-SEP-2011,AIAENG,332.40,331.60,0.0024,0.0182,0.0177,0.3382
07-SEP-2011,AICHAMP,38.00,40.00,-0.0513,0.0360,0.0371,0.7088
07-SEP-2011,AJANTPHARM,335.85,321.70,0.0430,0.0253,0.0267,0.5101
07-SEP-2011,AJMERA,133.70,120.90,0.1006,0.0243,0.0341,0.6515
07-SEP-2011,AKSHOPTFBR,6.60,6.65,-0.0075,0.0221,0.0215,0.4108
07-SEP-2011,AKZOINDIA,951.30,949.95,0.0014,0.0170,0.0165,0.3152
07-SEP-2011,ALBK,176.40,173.45,0.0169,0.0231,0.0228,0.4356
07-SEP-2011,ALCHEM,271.05,258.35,0.0480,0.0196,0.0223,0.4260
07-SEP-2011,ALEMBICLTD,19.70,18.90,0.0415,0.0244,0.0257,0.4910
07-SEP-2011,ALFALAVAL,1923.15,1902.35,0.0109,0.0375,0.0365,0.6973
07-SEP-2011,ALICON,59.60,57.00,0.0446,0.0575,0.0568,1.0852
07-SEP-2011,ALKALI,42.65,41.70,0.0225,0.0306,0.0302,0.5770
07-SEP-2011,ALKYLAMINE,88.60,89.90,-0.0146,0.0293,0.0286,0.5464
07-SEP-2011,ALLCARGO,149.95,149.95,0.0000,0.0278,0.0270,0.5158
07-SEP-2011,ALLSEC,15.00,14.10,0.0619,0.0489,0.0498,0.9514
07-SEP-2011,ALMONDZ,22.50,22.90,-0.0176,0.0525,0.0511,0.9763
07-SEP-2011,ALOKTEXT,20.20,19.40,0.0404,0.0360,0.0363,0.6935
07-SEP-2011,ALPA,8.65,8.40,0.0293,0.0304,0.0303,0.5789
07-SEP-2011,ALPHAGEO,103.20,101.10,0.0206,0.0385,0.0377,0.7203
07-SEP-2011,ALPSINDUS,2.75,2.50,0.0953,0.0282,0.0360,0.6878
07-SEP-2011,AMAR,113.25,99.65,0.1279,0.0205,0.0371,0.7088
07-SEP-2011,AMARAJABAT,240.15,240.95,-0.0033,0.0201,0.0195,0.3725
07-SEP-2011,AMARJOTHI,55.50,53.40,0.0386,0.0339,0.0342,0.6534
07-SEP-2011,AMBIKCO,180.75,175.15,0.0315,0.0232,0.0238,0.4547
07-SEP-2011,AMBUJACEM,147.35,139.30,0.0562,0.0200,0.0238,0.4547
07-SEP-2011,AMDIND,21.00,20.65,0.0168,0.0351,0.0343,0.6553
