Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
18-MAR-2013,20MICRONS,30.55,30.75,-0.0065,0.0504,0.0489,0.9342
18-MAR-2013,3IINFOTECH,6.45,6.40,0.0078,0.0316,0.0307,0.5865
18-MAR-2013,3MINDIA,3391.15,3383.60,0.0022,0.0198,0.0192,0.3668
18-MAR-2013,A2ZMES,21.90,22.70,-0.0359,0.0693,0.0678,1.2953
18-MAR-2013,AANJANEYA,190.95,201.00,-0.0513,0.0722,0.0711,1.3584
18-MAR-2013,AARTIDRUGS,193.70,193.10,0.0031,0.0188,0.0182,0.3477
18-MAR-2013,AARTIIND,91.85,92.00,-0.0016,0.0189,0.0183,0.3496
18-MAR-2013,AARVEEDEN,36.90,36.70,0.0054,0.0463,0.0449,0.8578
18-MAR-2013,ABAN,292.85,296.40,-0.0120,0.0224,0.0219,0.4184
18-MAR-2013,ABB,558.25,574.90,-0.0294,0.0186,0.0194,0.3706
18-MAR-2013,ABBOTINDIA,1358.95,1351.25,0.0057,0.0094,0.0092,0.1758
18-MAR-2013,ABCIL,83.60,82.25,0.0163,0.0218,0.0215,0.4108
18-MAR-2013,ABGSHIP,281.50,278.40,0.0111,0.0424,0.0412,0.7871
18-MAR-2013,ABHISHEK,4.90,4.75,0.0311,0.0312,0.0312,0.5961
18-MAR-2013,ABIRLANUVO,1037.70,1034.85,0.0028,0.0170,0.0165,0.3152
18-MAR-2013,ACC,1226.15,1249.35,-0.0187,0.0155,0.0157,0.2999
18-MAR-2013,ACCELYA,372.00,378.60,-0.0176,0.0263,0.0259,0.4948
18-MAR-2013,ACE,12.75,13.15,-0.0309,0.0406,0.0401,0.7661
18-MAR-2013,ACROPETAL,6.85,6.95,-0.0145,0.0356,0.0347,0.6629
18-MAR-2013,ADANIENT,235.60,239.35,-0.0158,0.0275,0.0269,0.5139
18-MAR-2013,ADANIPORTS,139.05,138.80,0.0018,0.0265,0.0257,0.4910
18-MAR-2013,ADANIPOWER,46.25,47.55,-0.0277,0.0298,0.0297,0.5674
18-MAR-2013,ADFFOODS,47.85,48.35,-0.0104,0.0276,0.0269,0.5139
18-MAR-2013,ADHUNIK,34.50,34.55,-0.0014,0.0305,0.0296,0.5655
18-MAR-2013,ADORWELD,118.15,117.15,0.0085,0.0130,0.0128,0.2445
18-MAR-2013,ADSL,12.15,12.95,-0.0638,0.0412,0.0429,0.8196
18-MAR-2013,ADVANIHOTR,30.00,30.00,0.0000,0.0201,0.0195,0.3725
18-MAR-2013,ADVANTA,1004.95,1024.40,-0.0192,0.0204,0.0203,0.3878
18-MAR-2013,AEGISCHEM,142.05,146.50,-0.0308,0.0358,0.0355,0.6782
18-MAR-2013,AFL,27.25,27.80,-0.0200,0.0267,0.0263,0.5025
18-MAR-2013,AFTEK,6.30,6.45,-0.0235,0.0305,0.0301,0.5751
18-MAR-2013,AGCNET,125.30,124.00,0.0104,0.0386,0.0375,0.7164
18-MAR-2013,AGRODUTCH,2.75,2.80,-0.0180,0.0416,0.0406,0.7757
18-MAR-2013,AHLEAST,177.10,178.00,-0.0051,0.0133,0.0130,0.2484
18-MAR-2013,AHLUCONT,25.45,24.80,0.0259,0.0201,0.0205,0.3917
18-MAR-2013,AHLWEST,107.90,114.80,-0.0620,0.0250,0.0286,0.5464
18-MAR-2013,AHMEDFORGE,115.15,117.90,-0.0236,0.0229,0.0229,0.4375
18-MAR-2013,AIAENG,317.30,321.25,-0.0124,0.0101,0.0103,0.1968
18-MAR-2013,AICHAMP,19.90,20.90,-0.0490,0.0363,0.0372,0.7107
18-MAR-2013,AIL,316.75,312.30,0.0141,0.0257,0.0252,0.4814
18-MAR-2013,AJANTPHARM,666.45,670.40,-0.0059,0.0309,0.0300,0.5731
18-MAR-2013,AJMERA,97.75,100.30,-0.0258,0.0222,0.0224,0.4280
18-MAR-2013,AKSHOPTFBR,17.50,17.35,0.0086,0.0128,0.0126,0.2407
18-MAR-2013,AKZOINDIA,1014.30,995.20,0.0190,0.0116,0.0122,0.2331
18-MAR-2013,ALBK,139.80,138.40,0.0101,0.0208,0.0203,0.3878
18-MAR-2013,ALCHEM,51.50,51.70,-0.0039,0.0234,0.0227,0.4337
18-MAR-2013,ALEMBICLTD,17.05,17.70,-0.0374,0.0283,0.0289,0.5521
18-MAR-2013,ALICON,63.90,62.15,0.0278,0.0282,0.0282,0.5388
18-MAR-2013,ALKALI,19.25,19.80,-0.0282,0.0245,0.0247,0.4719
18-MAR-2013,ALKYLAMINE,159.95,157.70,0.0142,0.0306,0.0299,0.5712
