SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PANACEABIO, EQ, 17-May-2018, 266.95, 267.05, 271.50, 263.70, 264.50, 264.60, 267.16, 28668, 76.59, 1492, 10335, 36.05
PANAMAPET, EQ, 17-May-2018, 196.85, 195.65, 198.00, 191.00, 192.05, 192.05, 194.43, 14000, 27.22, 439, 10015, 71.54
PANORAMUNI, EQ, 17-May-2018, 6.50, 6.65, 7.45, 6.30, 7.20, 7.00, 7.08, 167194, 11.84, 331, 69377, 41.49
PAPERPROD, EQ, 17-May-2018, 324.85, 325.45, 329.15, 323.30, 328.60, 327.95, 325.46, 11646, 37.90, 196, 9858, 84.65
PARABDRUGS, EQ, 17-May-2018, 4.05, 3.85, 4.00, 3.85, 3.85, 3.85, 3.85, 46666, 1.80, 78, 46666, 100.00
PARACABLES, EQ, 17-May-2018, 15.05, 15.45, 15.50, 14.50, 14.70, 14.85, 14.82, 108470, 16.07, 244, 72593, 66.92
PARAGMILK, EQ, 17-May-2018, 345.30, 352.00, 368.95, 346.80, 354.60, 355.35, 356.94, 2788151, 9951.90, 39724, 811796, 29.12
PARSVNATH, EQ, 17-May-2018, 14.15, 14.20, 14.65, 14.05, 14.30, 14.45, 14.29, 21825, 3.12, 157, 18181, 83.30
PASHUPATI, SM, 17-May-2018, 65.00, 65.00, 65.00, 65.00, 65.00, 65.00, 65.00, 1600, 1.04, 1, 1600, 100.00
PATELENG, EQ, 17-May-2018, 48.40, 49.05, 49.25, 46.20, 47.45, 47.05, 47.22, 637492, 301.06, 5059, 442486, 69.41
PATINTLOG, EQ, 17-May-2018, 59.55, 60.00, 61.45, 58.80, 59.00, 59.35, 59.71, 27989, 16.71, 487, 13459, 48.09
PATSPINLTD, EQ, 17-May-2018, 14.85, 15.05, 15.15, 14.65, 14.75, 14.85, 14.87, 2633, 0.39, 30, 2266, 86.06
PBAINFRA, EQ, 17-May-2018, 6.50, 6.50, 6.80, 6.50, 6.80, 6.80, 6.75, 6386, 0.43, 65, 3415, 53.48
PCJEWELLER, EQ, 17-May-2018, 171.70, 174.00, 177.70, 166.00, 168.10, 168.65, 171.06, 13409890, 22939.55, 104004, 1408231, 10.50
PDMJEPAPER, EQ, 17-May-2018, 28.85, 29.30, 29.65, 28.80, 29.50, 29.40, 29.36, 116525, 34.21, 487, 86204, 73.98
PDPL, EQ, 17-May-2018, 12.50, 12.50, 13.40, 12.50, 12.80, 12.80, 12.92, 8887, 1.15, 37, 8679, 97.66
PDSMFL, EQ, 17-May-2018, 305.90, 307.00, 307.00, 305.50, 305.50, 305.50, 306.38, 958, 2.94, 14, 957, 99.90
PEARLPOLY, EQ, 17-May-2018, 21.50, 21.50, 22.05, 21.00, 21.60, 21.60, 21.21, 1392, 0.30, 9, 1021, 73.35
