SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 16-May-2018, 44.75, 45.00, 45.00, 43.90, 44.60, 44.30, 44.34, 25828, 11.45, 317, 15567, 60.27
21STCENMGM, EQ, 16-May-2018, 40.00, 39.95, 40.70, 39.20, 40.70, 40.70, 39.92, 1322, 0.53, 12, 1322, 100.00
3IINFOTECH, EQ, 16-May-2018, 4.05, 4.05, 4.10, 3.90, 4.00, 3.95, 3.98, 3588885, 142.68, 3995, 2361808, 65.81
3MINDIA, EQ, 16-May-2018, 20177.05, 20250.00, 20400.00, 20191.05, 20265.00, 20234.20, 20256.23, 4667, 945.36, 516, 4101, 87.87
3PLAND, EQ, 16-May-2018, 13.20, 14.60, 14.90, 13.25, 13.30, 13.30, 13.53, 590, 0.08, 19, 561, 95.08
5PAISA, EQ, 16-May-2018, 458.10, 444.95, 468.00, 436.75, 440.05, 443.00, 445.28, 3267, 14.55, 174, 1325, 40.56
63MOONS, EQ, 16-May-2018, 81.90, 82.80, 82.80, 80.40, 81.00, 81.15, 81.17, 113743, 92.32, 2372, 49810, 43.79
8KMILES, EQ, 16-May-2018, 636.75, 641.95, 645.00, 625.00, 626.05, 627.10, 631.31, 110866, 699.91, 4483, 47532, 42.87
A2ZINFRA, EQ, 16-May-2018, 20.15, 20.15, 20.30, 19.65, 20.10, 20.10, 19.98, 778476, 155.53, 1691, 383841, 49.31
AARTIDRUGS, EQ, 16-May-2018, 549.60, 548.15, 580.00, 535.15, 575.00, 566.80, 565.48, 29661, 167.73, 1506, 4934, 16.63
AARTIIND, EQ, 16-May-2018, 1300.65, 1290.00, 1325.00, 1279.25, 1304.05, 1301.10, 1300.89, 44365, 577.14, 2783, 33718, 76.00
AARVEEDEN, EQ, 16-May-2018, 39.00, 39.90, 40.30, 38.55, 39.35, 39.45, 39.39, 6656, 2.62, 65, 5184, 77.88
AARVI, SM, 16-May-2018, 86.00, 88.00, 90.00, 88.00, 90.00, 89.00, 89.00, 4000, 3.56, 2, 4000, 100.00
ABAN, EQ, 16-May-2018, 161.30, 160.00, 160.90, 157.00, 158.80, 158.55, 158.70, 467646, 742.14, 6280, 117290, 25.08
ABB, EQ, 16-May-2018, 1240.80, 1240.90, 1244.90, 1225.55, 1227.00, 1234.60, 1234.29, 30547, 377.04, 2200, 14456, 47.32
ABBOTINDIA, EQ, 16-May-2018, 6599.85, 6665.85, 6900.25, 6654.45, 6745.00, 6792.40, 6803.16, 15963, 1085.99, 3583, 10301, 64.53
ABCAPITAL, EQ, 16-May-2018, 147.65, 147.45, 149.35, 145.30, 145.75, 145.80, 146.43, 1782388, 2609.91, 16039, 1001687, 56.20
ABFRL, EQ, 16-May-2018, 150.95, 150.00, 151.75, 145.65, 148.00, 148.80, 149.56, 573805, 858.18, 4573, 418514, 72.94
ABGSHIP, BZ, 16-May-2018, 5.95, 5.70, 5.70, 5.70, 5.70, 5.70, 5.70, 7563, 0.43, 40, -, -
ABMINTLTD, BE, 16-May-2018, 24.90, 25.00, 25.00, 24.90, 24.90, 24.90, 24.93, 200, 0.05, 2, -, -
