SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 23-May-2018, 41.25, 41.55, 42.90, 41.20, 41.65, 41.45, 41.67, 38967, 16.24, 484, 22020, 56.51
21STCENMGM, EQ, 23-May-2018, 39.15, 38.40, 38.40, 38.40, 38.40, 38.40, 38.40, 248, 0.10, 7, 248, 100.00
3IINFOTECH, EQ, 23-May-2018, 4.70, 4.80, 4.90, 4.65, 4.90, 4.90, 4.79, 4598046, 220.32, 1616, 2776005, 60.37
3MINDIA, EQ, 23-May-2018, 19494.95, 19499.85, 19998.00, 19250.00, 19998.00, 19598.05, 19545.49, 1440, 281.46, 471, 1135, 78.82
3PLAND, EQ, 23-May-2018, 13.95, 14.00, 14.25, 12.65, 12.75, 13.15, 13.26, 6339, 0.84, 75, 3897, 61.48
5PAISA, EQ, 23-May-2018, 390.55, 393.55, 393.55, 371.05, 371.05, 373.15, 380.46, 5965, 22.69, 314, 3672, 61.56
63MOONS, EQ, 23-May-2018, 76.55, 76.50, 78.00, 76.50, 77.45, 77.55, 77.53, 139821, 108.40, 2031, 61244, 43.80
8KMILES, EQ, 23-May-2018, 633.90, 637.80, 681.00, 620.10, 634.95, 631.20, 657.20, 1024735, 6734.56, 35661, 201826, 19.70
A2ZINFRA, EQ, 23-May-2018, 20.90, 21.10, 21.80, 20.55, 21.40, 21.45, 21.30, 430760, 91.74, 2445, 189564, 44.01
AARTIDRUGS, EQ, 23-May-2018, 542.55, 540.25, 544.65, 524.95, 529.00, 531.95, 530.69, 3135, 16.64, 326, 1949, 62.17
AARTIIND, EQ, 23-May-2018, 1264.70, 1264.00, 1299.00, 1243.30, 1285.00, 1257.55, 1266.20, 19645, 248.74, 2380, 12558, 63.92
AARVEEDEN, EQ, 23-May-2018, 39.20, 40.90, 41.60, 38.75, 38.95, 39.10, 39.68, 10457, 4.15, 86, 6230, 59.58
ABAN, EQ, 23-May-2018, 158.40, 158.20, 161.50, 155.50, 156.50, 156.50, 158.18, 523418, 827.94, 6566, 131133, 25.05
ABB, EQ, 23-May-2018, 1208.65, 1207.85, 1223.70, 1184.55, 1189.00, 1194.65, 1195.91, 162178, 1939.50, 2186, 145743, 89.87
ABBOTINDIA, EQ, 23-May-2018, 6563.60, 6560.00, 6674.85, 6510.00, 6555.00, 6587.45, 6566.88, 3283, 215.59, 990, 2207, 67.23
ABCAPITAL, EQ, 23-May-2018, 144.90, 144.90, 145.35, 140.60, 140.80, 140.95, 142.20, 1812913, 2577.98, 21843, 1211768, 66.84
ABFRL, EQ, 23-May-2018, 143.85, 144.00, 148.40, 141.70, 143.00, 142.90, 145.17, 696411, 1011.01, 4852, 536142, 76.99
ABGSHIP, BZ, 23-May-2018, 5.65, 5.90, 5.90, 5.90, 5.90, 5.90, 5.90, 12403, 0.73, 28, -, -
ACC, EQ, 23-May-2018, 1325.30, 1320.25, 1328.95, 1308.10, 1313.75, 1313.75, 1315.44, 582944, 7668.29, 28114, 276203, 47.38
ACCELYA, EQ, 23-May-2018, 1242.75, 1239.50, 1240.00, 1197.30, 1209.00, 1203.50, 1207.23, 4082, 49.28, 684, 3176, 77.81
ACCORD, SM, 23-May-2018, 41.00, 40.45, 40.75, 40.45, 40.75, 40.75, 40.60, 4000, 1.62, 2, 4000, 100.00
ACE, EQ, 23-May-2018, 170.60, 171.00, 174.55, 164.10, 164.80, 165.30, 169.67, 482502, 818.64, 6150, 207668, 43.04
ADANIENT, EQ, 23-May-2018, 122.25, 122.00, 122.45, 116.80, 117.50, 117.40, 118.74, 2564043, 3044.50, 13193, 415247, 16.20
ADANIPORTS, EQ, 23-May-2018, 379.75, 379.80, 383.10, 373.50, 374.05, 374.25, 376.02, 1560605, 5868.24, 39746, 458589, 29.39
ADANIPOWER, EQ, 23-May-2018, 20.20, 20.30, 20.45, 19.80, 19.90, 20.10, 20.07, 11592612, 2326.75, 13292, 3800618, 32.78
ADANITRANS, EQ, 23-May-2018, 123.75, 125.60, 125.60, 119.05, 119.25, 120.40, 122.41, 707476, 866.05, 4500, 132549, 18.74
ADFFOODS, EQ, 23-May-2018, 254.60, 253.00, 260.30, 250.60, 254.10, 254.55, 255.21, 57050, 145.60, 1900, 17718, 31.06
ADHUNIK, EQ, 23-May-2018, 3.35, 3.25, 3.50, 3.25, 3.50, 3.50, 3.46, 40335, 1.40, 88, 35521, 88.06
ADHUNIKIND, EQ, 23-May-2018, 63.50, 60.35, 62.45, 60.35, 60.35, 60.35, 60.38, 2443, 1.48, 24, 2441, 99.92
ADLABS, EQ, 23-May-2018, 42.20, 42.50, 42.90, 39.20, 40.25, 40.10, 40.38, 118490, 47.85, 935, 70929, 59.86
ADORWELD, EQ, 23-May-2018, 356.05, 356.25, 356.40, 341.55, 348.90, 346.45, 349.98, 2416, 8.46, 148, 1551, 64.20
ADROITINFO, EQ, 23-May-2018, 28.90, 29.90, 29.90, 28.65, 29.65, 29.60, 29.57, 1982, 0.59, 35, 1676, 84.56
ADSL, EQ, 23-May-2018, 17.00, 16.75, 17.50, 16.70, 17.00, 17.10, 17.24, 10955, 1.89, 76, 6840, 62.44
ADVANIHOTR, EQ, 23-May-2018, 56.15, 58.00, 58.00, 52.90, 54.45, 54.30, 54.18, 35070, 19.00, 464, 14831, 42.29
ADVENZYMES, EQ, 23-May-2018, 224.45, 224.75, 230.90, 220.00, 221.00, 222.00, 225.24, 105937, 238.61, 2394, 44665, 42.16
AEGISCHEM, EQ, 23-May-2018, 259.15, 259.50, 269.00, 259.00, 266.05, 267.05, 264.26, 97448, 257.52, 4292, 66168, 67.90
AFL, EQ, 23-May-2018, 47.15, 46.50, 48.45, 46.30, 48.25, 48.25, 47.81, 4084, 1.95, 39, 3086, 75.56
AGARIND, EQ, 23-May-2018, 241.60, 231.30, 253.60, 231.10, 252.00, 252.00, 249.61, 2630, 6.56, 43, 2279, 86.65
AGCNET, EQ, 23-May-2018, 110.25, 106.60, 114.70, 106.50, 107.70, 108.90, 108.64, 899, 0.98, 16, 851, 94.66
AGLSL, EQ, 23-May-2018, 99.10, 101.40, 101.40, 92.30, 93.30, 94.05, 95.10, 7056, 6.71, 125, 6015, 85.25
AGRITECH, EQ, 23-May-2018, 120.15, 123.45, 123.45, 119.80, 120.00, 119.95, 120.89, 11883, 14.36, 332, 7599, 63.95
AGROPHOS, SM, 23-May-2018, 38.95, 39.40, 39.40, 38.75, 38.75, 38.75, 38.98, 132000, 51.45, 17, 54000, 40.91
AHLEAST, EQ, 23-May-2018, 292.35, 293.00, 306.90, 292.80, 305.20, 298.65, 300.40, 457, 1.37, 97, 210, 45.95
AHLUCONT, EQ, 23-May-2018, 370.65, 371.00, 375.00, 364.55, 366.05, 366.40, 369.61, 3619, 13.38, 206, 1327, 36.67
AHLWEST, BE, 23-May-2018, 263.00, 264.00, 264.00, 250.10, 250.10, 250.10, 255.41, 41, 0.10, 9, -, -
AIAENG, EQ, 23-May-2018, 1559.40, 1559.40, 1562.95, 1520.00, 1550.00, 1557.95, 1554.75, 24951, 387.93, 2054, 19486, 78.10
AICHAMP, BE, 23-May-2018, 24.90, 26.00, 26.05, 23.70, 26.05, 26.05, 25.38, 35, 0.01, 4, -, -
AIFL, EQ, 23-May-2018, 498.80, 497.00, 502.15, 485.10, 491.10, 491.60, 494.07, 165503, 817.70, 2206, 75603, 45.68
AIRAN, SM, 23-May-2018, 251.20, 250.10, 250.10, 249.45, 249.45, 249.45, 249.85, 1500, 3.75, 3, 1000, 66.67
AIROLAM, SM, 23-May-2018, 46.85, 46.95, 46.95, 46.95, 46.95, 46.95, 46.95, 3000, 1.41, 1, 3000, 100.00
AISL, SM, 23-May-2018, 109.00, 109.00, 115.00, 108.30, 108.30, 108.30, 111.72, 9600, 10.73, 8, 4800, 50.00
AJANTPHARM, EQ, 23-May-2018, 994.15, 998.90, 1008.50, 980.55, 984.05, 987.00, 994.37, 199302, 1981.81, 8210, 64100, 32.16
AJMERA, EQ, 23-May-2018, 238.80, 239.00, 241.00, 235.15, 235.75, 236.40, 238.36, 56421, 134.48, 1293, 35136, 62.27
