SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 21-May-2018, 42.55, 43.55, 43.55, 41.25, 41.80, 41.45, 42.07, 33382, 14.04, 392, 22961, 68.78
21STCENMGM, EQ, 21-May-2018, 40.70, 39.90, 39.90, 39.90, 39.90, 39.90, 39.90, 221, 0.09, 4, 221, 100.00
3IINFOTECH, EQ, 21-May-2018, 4.30, 4.40, 4.50, 4.20, 4.50, 4.50, 4.45, 2625057, 116.75, 1318, 1398123, 53.26
3MINDIA, EQ, 21-May-2018, 19870.75, 19990.00, 19999.95, 19200.00, 19300.00, 19251.75, 19480.77, 1115, 217.21, 432, 918, 82.33
3PLAND, EQ, 21-May-2018, 13.05, 13.30, 13.80, 13.10, 13.30, 13.30, 13.40, 2472, 0.33, 17, 2470, 99.92
5PAISA, EQ, 21-May-2018, 413.10, 400.05, 419.55, 392.45, 392.45, 392.45, 397.53, 12999, 51.68, 214, 11749, 90.38
63MOONS, EQ, 21-May-2018, 80.30, 80.25, 83.00, 79.35, 81.20, 81.65, 81.22, 229065, 186.05, 3812, 96481, 42.12
8KMILES, EQ, 21-May-2018, 597.95, 598.45, 601.50, 510.05, 530.55, 528.70, 538.26, 492030, 2648.42, 16014, 152126, 30.92
A2ZINFRA, EQ, 21-May-2018, 21.30, 21.20, 21.85, 19.80, 20.30, 20.15, 20.59, 548775, 113.01, 2808, 246480, 44.91
AAKASH, SM, 21-May-2018, 54.00, 54.00, 54.00, 49.05, 49.05, 49.05, 51.68, 6000, 3.10, 3, 4000, 66.67
AARTIDRUGS, EQ, 21-May-2018, 549.85, 550.00, 555.05, 535.10, 538.15, 540.00, 544.26, 1673, 9.11, 203, 1295, 77.41
AARTIIND, EQ, 21-May-2018, 1260.50, 1252.05, 1257.45, 1196.10, 1220.00, 1222.55, 1213.66, 43376, 526.44, 4281, 24484, 56.45
AARVEEDEN, EQ, 21-May-2018, 40.55, 40.60, 41.60, 38.50, 39.00, 39.00, 39.14, 47628, 18.64, 124, 35358, 74.24
AARVI, SM, 21-May-2018, 90.00, 88.00, 88.00, 88.00, 88.00, 88.00, 88.00, 2000, 1.76, 1, 2000, 100.00
