SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PITTILAM, EQ, 22-May-2018, 89.15, 89.00, 90.80, 85.60, 88.95, 88.65, 88.93, 43056, 38.29, 632, 16918, 39.29
PKTEA, BE, 22-May-2018, 242.00, 253.90, 254.10, 229.90, 229.90, 230.85, 235.31, 2024, 4.76, 50, -, -
PLASTIBLEN, EQ, 22-May-2018, 182.45, 182.00, 188.00, 181.10, 184.00, 183.60, 184.25, 16110, 29.68, 126, 14581, 90.51
PNB, EQ, 22-May-2018, 78.15, 78.05, 83.55, 76.60, 81.05, 81.55, 80.76, 47285396, 38188.87, 118637, 4347989, 9.20
PNBGILTS, EQ, 22-May-2018, 33.30, 33.25, 33.85, 32.60, 33.30, 33.20, 33.26, 162174, 53.94, 1437, 59498, 36.69
PNBHOUSING, EQ, 22-May-2018, 1262.90, 1251.40, 1261.15, 1190.00, 1202.00, 1211.15, 1227.17, 181778, 2230.72, 13152, 92882, 51.10
PNC, EQ, 22-May-2018, 16.20, 17.20, 17.20, 15.10, 15.80, 15.80, 15.47, 2079, 0.32, 33, 1279, 61.52
PNCINFRA, EQ, 22-May-2018, 164.95, 163.25, 165.45, 159.25, 164.00, 164.15, 163.81, 587297, 962.04, 12091, 500715, 85.26
POCHIRAJU, EQ, 22-May-2018, 4.35, 4.35, 4.35, 4.15, 4.15, 4.15, 4.18, 5902, 0.25, 16, 5210, 88.28
PODDARHOUS, EQ, 22-May-2018, 986.50, 970.05, 998.85, 964.85, 967.15, 973.20, 972.14, 178, 1.73, 25, 144, 80.90
PODDARMENT, EQ, 22-May-2018, 278.85, 277.90, 281.90, 277.20, 277.20, 277.75, 278.40, 1576, 4.39, 68, 1297, 82.30
POKARNA, EQ, 22-May-2018, 183.25, 183.80, 183.80, 181.35, 181.40, 182.15, 182.06, 6767, 12.32, 256, 4058, 59.97
POLARIS, EQ, 22-May-2018, 472.80, 472.80, 473.00, 470.10, 470.20, 472.50, 472.46, 13790, 65.15, 3128, 11135, 80.75
POLYMED, EQ, 22-May-2018, 235.55, 235.30, 238.90, 228.55, 232.50, 232.50, 232.99, 7429, 17.31, 306, 4898, 65.93
POLYPLEX, EQ, 22-May-2018, 448.60, 450.30, 461.10, 442.65, 452.00, 450.85, 447.61, 11826, 52.93, 524, 6021, 50.91
