Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
21-MAY-2018,20MICRONS,41.45,42.55,-0.0262,0.0254,0.0254,0.4853
21-MAY-2018,21STCENMGM,39.90,40.70,-0.0199,0.0581,0.0565,1.0794
21-MAY-2018,3IINFOTECH,4.50,4.30,0.0455,0.0345,0.0353,0.6744
21-MAY-2018,3MINDIA,19251.75,19870.75,-0.0316,0.0104,0.0127,0.2426
21-MAY-2018,3PLAND,13.30,13.05,0.0190,0.0328,0.0321,0.6133
21-MAY-2018,5PAISA,392.45,413.10,-0.0513,0.0316,0.0331,0.6324
21-MAY-2018,63MOONS,81.65,80.30,0.0167,0.0303,0.0297,0.5674
21-MAY-2018,8KMILES,528.70,597.95,-0.1231,0.0264,0.0395,0.7546
21-MAY-2018,A2ZINFRA,20.15,21.30,-0.0555,0.0390,0.0402,0.7680
21-MAY-2018,AARTIDRUGS,540.00,549.85,-0.0181,0.0193,0.0192,0.3668
21-MAY-2018,AARTIIND,1222.55,1260.50,-0.0306,0.0137,0.0152,0.2904
21-MAY-2018,AARVEEDEN,39.00,40.55,-0.0390,0.0292,0.0299,0.5712
21-MAY-2018,ABAN,156.55,161.60,-0.0317,0.0234,0.0240,0.4585
21-MAY-2018,ABB,1200.20,1216.35,-0.0134,0.0126,0.0126,0.2407
21-MAY-2018,ABBOTINDIA,6606.60,6727.85,-0.0182,0.0159,0.0160,0.3057
21-MAY-2018,ABCAPITAL,143.85,147.50,-0.0251,0.0133,0.0143,0.2732
21-MAY-2018,ABFRL,140.40,143.65,-0.0229,0.0173,0.0177,0.3382
21-MAY-2018,ABGSHIP,5.40,5.55,-0.0274,0.0324,0.0321,0.6133
21-MAY-2018,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
21-MAY-2018,ABMINTLTD,22.55,23.70,-0.0497,0.0348,0.0359,0.6859
21-MAY-2018,ACC,1344.10,1374.35,-0.0223,0.0128,0.0136,0.2598
21-MAY-2018,ACCELYA,1212.65,1251.50,-0.0315,0.0151,0.0166,0.3171
21-MAY-2018,ACE,163.80,173.85,-0.0595,0.0226,0.0263,0.5025
21-MAY-2018,ADANIENT,118.20,118.60,-0.0034,0.0291,0.0282,0.5388
21-MAY-2018,ADANIPORTS,383.70,389.50,-0.0150,0.0148,0.0148,0.2828
21-MAY-2018,ADANIPOWER,20.70,21.15,-0.0215,0.0310,0.0305,0.5827
21-MAY-2018,ADANITRANS,125.30,128.15,-0.0225,0.0367,0.0360,0.6878
21-MAY-2018,ADFFOODS,257.65,263.55,-0.0226,0.0272,0.0269,0.5139
21-MAY-2018,ADHUNIK,3.30,3.25,0.0153,0.0306,0.0299,0.5712
21-MAY-2018,ADHUNIKIND,66.80,70.30,-0.0511,0.0312,0.0327,0.6247
21-MAY-2018,ADLABS,44.20,45.20,-0.0224,0.0249,0.0248,0.4738
21-MAY-2018,ADORWELD,346.05,356.95,-0.0310,0.0180,0.0190,0.3630
21-MAY-2018,ADROITINFO,29.85,30.00,-0.0050,0.0231,0.0224,0.4280
21-MAY-2018,ADSL,16.25,16.80,-0.0333,0.0280,0.0283,0.5407
21-MAY-2018,ADVANIHOTR,56.20,58.25,-0.0358,0.0337,0.0338,0.6457
21-MAY-2018,ADVENZYMES,221.40,226.20,-0.0214,0.0201,0.0202,0.3859
21-MAY-2018,AEGISCHEM,257.55,262.15,-0.0177,0.0190,0.0189,0.3611
21-MAY-2018,AFL,47.45,46.90,0.0117,0.0327,0.0318,0.6075
21-MAY-2018,AGARIND,251.20,250.10,0.0044,0.0281,0.0273,0.5216
21-MAY-2018,AGCNET,106.35,110.45,-0.0378,0.0291,0.0297,0.5674
21-MAY-2018,AGLSL,94.80,95.90,-0.0115,0.0234,0.0229,0.4375
21-MAY-2018,AGRITECH,122.25,120.75,0.0123,0.0274,0.0267,0.5101
21-MAY-2018,AHLEAST,298.40,299.80,-0.0047,0.0301,0.0292,0.5579
21-MAY-2018,AHLUCONT,373.60,371.40,0.0059,0.0205,0.0199,0.3802
21-MAY-2018,AHLWEST,272.65,287.00,-0.0513,0.0334,0.0347,0.6629
21-MAY-2018,AIAENG,1534.70,1564.40,-0.0192,0.0152,0.0155,0.2961
21-MAY-2018,AICHAMP,23.80,25.00,-0.0492,0.0307,0.0321,0.6133
21-MAY-2018,AIFL,459.85,460.50,-0.0014,0.0168,0.0163,0.3114
21-MAY-2018,AJANTPHARM,986.50,1023.00,-0.0363,0.0223,0.0234,0.4471
21-MAY-2018,AJMERA,240.25,251.80,-0.0470,0.0228,0.0249,0.4757
21-MAY-2018,AKSHARCHEM,583.50,596.65,-0.0223,0.0189,0.0191,0.3649
21-MAY-2018,AKSHOPTFBR,32.35,33.30,-0.0289,0.0305,0.0304,0.5808
21-MAY-2018,AKZOINDIA,1900.70,1947.35,-0.0242,0.0112,0.0124,0.2369
21-MAY-2018,ALANKIT,32.30,34.00,-0.0513,0.0412,0.0419,0.8005
21-MAY-2018,ALBERTDAVD,366.20,367.85,-0.0045,0.0153,0.0149,0.2847
21-MAY-2018,ALBK,38.55,37.75,0.0210,0.0322,0.0316,0.6037
21-MAY-2018,ALCHEM,6.95,7.25,-0.0423,0.0317,0.0324,0.6190
21-MAY-2018,ALEMBICLTD,51.55,51.50,0.0010,0.0271,0.0263,0.5025
21-MAY-2018,ALICON,602.80,619.45,-0.0272,0.0167,0.0175,0.3343
21-MAY-2018,ALKALI,77.85,78.20,-0.0045,0.0385,0.0373,0.7126
21-MAY-2018,ALKEM,1940.95,1970.75,-0.0152,0.0162,0.0161,0.3076
21-MAY-2018,ALKYLAMINE,701.75,678.55,0.0336,0.0316,0.0317,0.6056
