Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
16-MAY-2018,20MICRONS,44.30,44.75,-0.0101,0.0267,0.0260,0.4967
16-MAY-2018,21STCENMGM,40.70,40.00,0.0173,0.0632,0.0614,1.1730
16-MAY-2018,3IINFOTECH,3.95,4.05,-0.0250,0.0337,0.0332,0.6343
16-MAY-2018,3MINDIA,20234.20,20177.05,0.0028,0.0108,0.0105,0.2006
16-MAY-2018,3PLAND,13.30,13.20,0.0075,0.0349,0.0339,0.6477
16-MAY-2018,5PAISA,443.00,458.10,-0.0335,0.0303,0.0305,0.5827
16-MAY-2018,63MOONS,81.15,81.90,-0.0092,0.0329,0.0320,0.6114
16-MAY-2018,8KMILES,627.10,636.75,-0.0153,0.0252,0.0247,0.4719
16-MAY-2018,A2ZINFRA,20.10,20.15,-0.0025,0.0362,0.0351,0.6706
16-MAY-2018,AARTIDRUGS,566.80,549.60,0.0308,0.0187,0.0196,0.3745
16-MAY-2018,AARTIIND,1301.10,1300.65,0.0003,0.0138,0.0134,0.2560
16-MAY-2018,AARVEEDEN,39.45,39.00,0.0115,0.0286,0.0279,0.5330
16-MAY-2018,ABAN,158.55,161.30,-0.0172,0.0223,0.0220,0.4203
16-MAY-2018,ABB,1234.60,1240.80,-0.0050,0.0135,0.0131,0.2503
16-MAY-2018,ABBOTINDIA,6792.40,6599.85,0.0288,0.0159,0.0169,0.3229
16-MAY-2018,ABCAPITAL,145.80,147.65,-0.0126,0.0140,0.0139,0.2656
16-MAY-2018,ABFRL,148.80,150.95,-0.0143,0.0174,0.0172,0.3286
16-MAY-2018,ABGSHIP,5.70,5.95,-0.0429,0.0314,0.0322,0.6152
16-MAY-2018,ABHISHEK,4.50,4.50,0.0000,0.0016,0.0016,0.0306
16-MAY-2018,ABMINTLTD,24.90,24.90,0.0000,0.0358,0.0347,0.6629
16-MAY-2018,ACC,1410.80,1411.65,-0.0006,0.0131,0.0127,0.2426
16-MAY-2018,ACCELYA,1308.45,1290.00,0.0142,0.0139,0.0139,0.2656
16-MAY-2018,ACE,181.35,181.95,-0.0033,0.0231,0.0224,0.4280
16-MAY-2018,ADANIENT,123.10,123.30,-0.0016,0.0301,0.0292,0.5579
16-MAY-2018,ADANIPORTS,403.10,409.15,-0.0149,0.0144,0.0144,0.2751
16-MAY-2018,ADANIPOWER,21.80,22.00,-0.0091,0.0298,0.0290,0.5540
16-MAY-2018,ADANITRANS,130.05,142.20,-0.0893,0.0323,0.0382,0.7298
16-MAY-2018,ADFFOODS,257.10,249.05,0.0318,0.0250,0.0255,0.4872
16-MAY-2018,ADHUNIK,3.20,3.15,0.0157,0.0320,0.0313,0.5980
16-MAY-2018,ADHUNIKIND,69.00,67.75,0.0183,0.0336,0.0329,0.6286
16-MAY-2018,ADLABS,45.65,47.15,-0.0323,0.0260,0.0264,0.5044
16-MAY-2018,ADORWELD,366.85,370.85,-0.0108,0.0179,0.0176,0.3362
16-MAY-2018,ADROITINFO,29.95,30.00,-0.0017,0.0248,0.0240,0.4585
16-MAY-2018,ADSL,17.05,17.20,-0.0088,0.0304,0.0296,0.5655
16-MAY-2018,ADVANIHOTR,56.80,58.25,-0.0252,0.0342,0.0337,0.6438
16-MAY-2018,ADVENZYMES,232.65,234.90,-0.0096,0.0212,0.0207,0.3955
16-MAY-2018,AEGISCHEM,266.15,269.20,-0.0114,0.0190,0.0186,0.3554
16-MAY-2018,AFL,47.75,48.90,-0.0238,0.0352,0.0346,0.6610
16-MAY-2018,AGARIND,260.15,270.00,-0.0372,0.0285,0.0291,0.5560
16-MAY-2018,AGCNET,112.00,113.10,-0.0098,0.0315,0.0306,0.5846
16-MAY-2018,AGLSL,95.65,97.30,-0.0171,0.0253,0.0249,0.4757
16-MAY-2018,AGRITECH,123.35,127.75,-0.0350,0.0278,0.0283,0.5407
16-MAY-2018,AHLEAST,304.40,310.40,-0.0195,0.0304,0.0299,0.5712
16-MAY-2018,AHLUCONT,390.50,395.25,-0.0121,0.0194,0.0190,0.3630
16-MAY-2018,AHLWEST,299.95,305.95,-0.0198,0.0344,0.0337,0.6438
16-MAY-2018,AIAENG,1510.25,1470.00,0.0270,0.0118,0.0132,0.2522
16-MAY-2018,AICHAMP,27.55,27.55,0.0000,0.0284,0.0275,0.5254
16-MAY-2018,AIFL,453.35,457.90,-0.0100,0.0180,0.0176,0.3362
16-MAY-2018,AJANTPHARM,1059.15,1050.65,0.0081,0.0231,0.0225,0.4299
16-MAY-2018,AJMERA,248.65,243.80,0.0197,0.0204,0.0204,0.3897
16-MAY-2018,AKSHARCHEM,594.55,604.65,-0.0168,0.0194,0.0193,0.3687
16-MAY-2018,AKSHOPTFBR,32.90,32.50,0.0122,0.0306,0.0298,0.5693
