SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 25-May-2018, 44.95, 44.95, 45.00, 40.85, 41.90, 41.55, 42.20, 516619, 217.99, 3399, 271087, 52.47
21STCENMGM, EQ, 25-May-2018, 37.65, 36.90, 38.40, 36.90, 38.40, 38.40, 37.00, 6928, 2.56, 36, 6928, 100.00
3IINFOTECH, EQ, 25-May-2018, 5.10, 5.05, 5.15, 4.90, 5.00, 5.00, 5.05, 2668209, 134.63, 1159, 1407401, 52.75
3MINDIA, EQ, 25-May-2018, 20038.75, 20050.00, 20499.40, 19755.05, 19850.00, 19914.35, 20147.41, 603, 121.49, 311, 396, 65.67
3PLAND, EQ, 25-May-2018, 13.20, 13.75, 14.40, 13.35, 13.80, 13.60, 13.83, 5848, 0.81, 55, 3862, 66.04
5PAISA, EQ, 25-May-2018, 362.20, 362.20, 380.20, 362.15, 380.00, 373.10, 371.17, 9445, 35.06, 389, 4927, 52.17
63MOONS, EQ, 25-May-2018, 76.50, 76.70, 83.70, 76.40, 79.50, 79.85, 80.46, 980655, 789.07, 10324, 145056, 14.79
8KMILES, EQ, 25-May-2018, 610.05, 614.85, 619.00, 602.80, 608.55, 608.50, 612.75, 234661, 1437.89, 7148, 86029, 36.66
A2ZINFRA, EQ, 25-May-2018, 21.95, 22.35, 23.75, 21.60, 23.40, 23.40, 22.65, 632180, 143.17, 2773, 295239, 46.70
AAKASH, SM, 25-May-2018, 46.00, 44.00, 44.00, 44.00, 44.00, 44.00, 44.00, 2000, 0.88, 1, 2000, 100.00
AARTIDRUGS, EQ, 25-May-2018, 533.05, 532.95, 543.30, 525.00, 535.60, 538.25, 532.95, 4291, 22.87, 354, 2470, 57.56
AARTIIND, EQ, 25-May-2018, 1272.70, 1280.00, 1280.00, 1244.00, 1246.00, 1248.95, 1258.72, 12946, 162.95, 1136, 7079, 54.68
AARVEEDEN, EQ, 25-May-2018, 40.35, 40.85, 40.85, 33.90, 39.00, 38.80, 38.60, 7239, 2.79, 111, 5967, 82.43
AARVI, SM, 25-May-2018, 84.00, 81.00, 83.85, 79.85, 83.85, 83.85, 81.57, 6000, 4.89, 3, 6000, 100.00
ABAN, EQ, 25-May-2018, 154.30, 154.60, 156.70, 152.60, 153.40, 153.75, 154.37, 528893, 816.47, 7365, 136901, 25.88
ABB, EQ, 25-May-2018, 1165.50, 1169.35, 1173.60, 1158.00, 1161.60, 1165.50, 1164.00, 30522, 355.28, 2586, 14057, 46.06
ABBOTINDIA, EQ, 25-May-2018, 6671.70, 6671.00, 6737.00, 6580.05, 6600.00, 6598.85, 6612.23, 8692, 574.73, 3941, 4955, 57.01
ABCAPITAL, EQ, 25-May-2018, 141.90, 142.50, 143.50, 141.85, 143.00, 142.95, 142.83, 877607, 1253.50, 8532, 476754, 54.32
ABFRL, EQ, 25-May-2018, 146.15, 147.50, 147.90, 142.20, 144.55, 144.80, 146.60, 163042, 239.01, 3067, 92538, 56.76
ABGSHIP, BZ, 25-May-2018, 5.85, 5.95, 6.10, 5.80, 5.90, 5.90, 5.97, 9266, 0.55, 48, -, -
ACC, EQ, 25-May-2018, 1332.80, 1333.50, 1335.95, 1308.25, 1320.75, 1322.85, 1319.15, 395131, 5212.39, 29292, 151493, 38.34
ACCELYA, EQ, 25-May-2018, 1194.20, 1193.10, 1200.05, 1180.00, 1185.00, 1184.15, 1187.00, 3221, 38.23, 401, 2264, 70.29
ACCORD, SM, 25-May-2018, 40.75, 41.00, 41.00, 40.85, 40.85, 40.85, 40.93, 4000, 1.64, 2, 4000, 100.00
ACE, EQ, 25-May-2018, 166.85, 166.90, 172.00, 165.00, 170.30, 170.50, 168.97, 369574, 624.47, 4385, 163027, 44.11
ADANIENT, EQ, 25-May-2018, 119.15, 119.05, 125.90, 118.05, 124.00, 124.80, 122.25, 5483064, 6702.97, 23771, 666128, 12.15
ADANIPORTS, EQ, 25-May-2018, 371.25, 371.50, 382.00, 366.50, 379.70, 379.90, 374.13, 2372618, 8876.76, 75852, 796514, 33.57
ADANIPOWER, EQ, 25-May-2018, 18.90, 19.00, 20.60, 18.65, 20.10, 20.05, 19.68, 23687898, 4661.74, 22080, 6533924, 27.58
