Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,13082015,380712734,0001505
Trade Date <13-AUG-2015>,Settlement Type <N>,Settlement No <2015154>,Settlement Date <17-AUG-2015>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,63348,37801,59.67
20,2,3IINFOTECH,EQ,1316725,815312,61.92
20,3,3MINDIA,EQ,854,588,68.85
20,4,8KMILES,EQ,5861,3338,56.95
20,5,A2ZINFRA,EQ,296116,140369,47.40
20,6,AARTIDRUGS,EQ,20977,14342,68.37
20,7,AARTIIND,EQ,59691,31298,52.43
20,8,AARVEEDEN,EQ,10971,7108,64.79
20,9,ABAN,EQ,862636,247813,28.73
20,10,ABB,EQ,43001,28292,65.79
20,11,ABBOTINDIA,EQ,11928,6339,53.14
20,12,ABCIL,EQ,6926,5168,74.62
20,13,ABGSHIP,EQ,124481,37652,30.25
20,14,ABIRLANUVO,EQ,149584,47781,31.94
20,15,ACC,EQ,356482,257706,72.29
20,16,ACCELYA,EQ,3181,2490,78.28
20,17,ACE,EQ,269530,132438,49.14
20,18,ACROPETAL,EQ,34710,31876,91.84
20,19,ADANIENT,EQ,6285304,794043,12.63
20,20,ADANIPORTS,EQ,4693354,2417798,51.52
20,21,ADANIPOWER,EQ,8372934,3342711,39.92
20,22,ADFFOODS,EQ,133381,95954,71.94
20,23,ADHUNIK,EQ,126774,68969,54.40
20,24,ADI,EQ,14850,13568,91.37
20,25,ADLABS,EQ,47512,27635,58.16
20,26,ADORWELD,EQ,5176,3140,60.66
20,27,ADSL,EQ,136270,85865,63.01
20,28,ADVANIHOTR,EQ,176,112,63.64
20,29,ADVANTA,EQ,18986,9668,50.92
20,30,AEGISCHEM,EQ,28634,12911,45.09
20,31,AFL,EQ,44912,26498,59.00
20,32,AGARIND,EQ,13498,12512,92.70
20,33,AGCNET,EQ,13052,5867,44.95
20,34,AGRODUTCH,EQ,3356,3355,99.97
20,35,AHLEAST,EQ,204,147,72.06
20,36,AHLUCONT,EQ,60291,46694,77.45
20,37,AHLWEST,EQ,717,692,96.51
20,38,AIAENG,EQ,36458,27139,74.44
20,39,AIL,EQ,60547,41405,68.38
20,40,AJANTPHARM,EQ,324510,43283,13.34
20,41,AJMERA,EQ,59797,32093,53.67
20,42,AKSHOPTFBR,EQ,3053095,1460512,47.84
20,43,AKZOINDIA,EQ,16653,5285,31.74
20,44,ALANKIT,EQ,133313,20260,15.20
20,45,ALBK,EQ,2811369,833383,29.64
20,46,ALCHEM,EQ,2548,2506,98.35
20,47,ALEMBICLTD,EQ,922066,405308,43.96
20,48,ALICON,EQ,7455,5708,76.57
20,49,ALKALI,EQ,4559,4022,88.22
20,50,ALKYLAMINE,EQ,7940,5749,72.41
20,51,ALLCARGO,EQ,136690,59941,43.85
20,52,ALLSEC,EQ,85910,55572,64.69
20,53,ALMONDZ,EQ,46832,38735,82.71
20,54,ALOKTEXT,EQ,7816070,3441127,44.03
20,55,ALPHAGEO,EQ,7528,6554,87.06
20,56,ALPSINDUS,EQ,7600,7600,100.00
20,57,ALSTOMT&D,EQ,255150,239319,93.80
20,58,AMARAJABAT,EQ,222593,100868,45.31
20,59,AMBIKCO,EQ,22069,11820,53.56
20,60,AMBUJACEM,EQ,1686056,1059743,62.85
20,61,AMDIND,EQ,23041,22256,96.59
20,62,AMRUTANJAN,EQ,37102,11519,31.05
20,63,AMTEKAUTO,EQ,2500850,942503,37.69
20,64,AMTL,EQ,16471,11322,68.74
20,65,ANANTRAJ,EQ,1610650,593676,36.86
20,66,ANDHRABANK,EQ,2731601,1056778,38.69
20,67,ANDHRACEMT,EQ,680854,479652,70.45
20,68,ANDHRSUGAR,EQ,12780,5223,40.87
20,69,ANGIND,EQ,45269,29615,65.42
20,70,ANKITMETAL,EQ,113137,97880,86.51
20,71,ANSALAPI,EQ,74897,36257,48.41
20,72,ANSALHSG,EQ,16775,11894,70.90
20,73,APARINDS,EQ,79964,35237,44.07
20,74,APCOTEXIND,EQ,4311,2631,61.03
20,75,APLAPOLLO,EQ,8078,6640,82.20
20,76,APLLTD,EQ,161756,125124,77.35
20,77,APOLLOHOSP,EQ,168700,84859,50.30
20,78,APOLLOTYRE,EQ,3575532,997686,27.90
20,79,APTECHT,EQ,169777,71749,42.26
20,80,ARCHIDPLY,EQ,130692,62794,48.05
20,81,ARCHIES,EQ,174006,101700,58.45
20,82,ARCOTECH,EQ,94850,26486,27.92
20,83,ARIES,EQ,40530,25033,61.76
20,84,ARIHANT,EQ,3513,3081,87.70
20,85,AROGRANITE,EQ,897,832,92.75
