Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01082013,276967255,0001315
Trade Date <01-AUG-2013>,Settlement Type <D>,Settlement No <2013148>,Settlement Date <05-AUG-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1000E14,GC,10,10,100.00
Trade Date <01-AUG-2013>,Settlement Type <N>,Settlement No <2013148>,Settlement Date <05-AUG-2013>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1262,VICEROY,EQ,16272,13112,80.58
20,1263,VIDEOIND,EQ,26093,16112,61.75
20,1264,VIJAYABANK,EQ,1801072,425536,23.63
20,1265,VIJSHAN,EQ,10613,6189,58.32
20,1266,VIKASGLOB,EQ,5443,4553,83.65
20,1267,VIMALOIL,EQ,17937,3590,20.01
20,1268,VIMTALABS,EQ,2700,2400,88.89
20,1269,VINATIORGA,EQ,2742,2466,89.93
20,1270,VINDHYATEL,EQ,130,130,100.00
20,1271,VIPIND,EQ,326802,151690,46.42
20,1272,VISAKAIND,EQ,6813,5059,74.26
20,1273,VISASTEEL,EQ,3202,2039,63.68
20,1274,VIVIDHA,EQ,8414,1259,14.96
20,1275,VIVIMEDLAB,EQ,315944,218340,69.11
20,1276,VLSFINANCE,EQ,15149,12336,81.43
20,1277,VMART,EQ,24488,14340,58.56
20,1278,VOLTAMP,EQ,1701,1641,96.47
20,1279,VOLTAS,EQ,1142910,620635,54.30
20,1280,VSTIND,EQ,1090,623,57.16
20,1281,VSTTILLERS,EQ,3148,2097,66.61
20,1282,VTL,EQ,213719,211133,98.79
20,1283,WABAG,EQ,23700,20496,86.48
20,1284,WABCOINDIA,EQ,5657,5467,96.64
20,1285,WALCHANNAG,EQ,21294,10194,47.87
20,1286,WANBURY,EQ,14109,10142,71.88
20,1287,WEBELSOLAR,EQ,3000,3000,100.00
20,1288,WELCORP,EQ,313035,155089,49.54
20,1289,WELPROJ,EQ,8935,8435,94.40
20,1290,WELSPUNIND,EQ,8364,5620,67.19
20,1291,WENDT,EQ,200,200,100.00
20,1292,WHEELS,EQ,7313,2079,28.43
20,1293,WHIRLPOOL,EQ,5859,4376,74.69
20,1294,WILLAMAGOR,EQ,101,101,100.00
20,1295,WINSOME,EQ,136246,124412,91.31
20,1296,WINSOMEDJ,EQ,9943,9741,97.97
20,1297,WIPRO,EQ,1966728,1097259,55.79
20,1298,WOCKPHARMA,EQ,962496,398932,41.45
20,1299,WSTCSTPAPR,EQ,45273,34212,75.57
20,1300,WYETH,EQ,1441,1212,84.11
20,1301,XCHANGING,EQ,2417,2307,95.45
20,1302,XLENERGY,EQ,1000,1000,100.00
20,1303,XPROINDIA,EQ,1456,1079,74.11
20,1304,YESBANK,EQ,13268635,2463313,18.56
20,1305,ZANDUREALT,EQ,5313,896,16.86
20,1306,ZEEL,EQ,2403581,1280564,53.28
20,1307,ZEELEARN,EQ,193698,118285,61.07
20,1308,ZEEMEDIA,EQ,617688,561076,90.83
20,1309,ZENSARTECH,EQ,6437,3395,52.74
20,1310,ZICOM,EQ,5327,4368,82.00
20,1311,ZODIACLOTH,EQ,175,175,100.00
20,1312,ZUARI,EQ,23287,21592,92.72
20,1313,ZUARIGLOB,EQ,6786,4179,61.58
20,1314,ZYDUSWELL,EQ,10940,4895,44.74
20,1315,ZYLOG,EQ,21280,21280,100.00
