,Company Name,Symbol,daily_percent%,yearly %,Industry
55,Kotak Mahindra Bank Ltd.,KOTAKBANK,1.3299999999999998,25.41,FINANCIAL SERVICES
80,Reliance Industries Ltd.,RELIANCE,1.32,25.22,ENERGY
100,Zee Entertainment Enterprises Ltd.,ZEEL,1.3,24.84,MEDIA & ENTERTAINMENT
34,Grasim Industries Ltd.,GRASIM,1.3,24.84,CEMENT & CEMENT PRODUCTS
33,Godrej Consumer Products Ltd.,GODREJCP,1.28,24.45,CONSUMER GOODS
53,I T C Ltd.,ITC,1.28,24.45,CONSUMER GOODS
16,Bosch Ltd.,BOSCHLTD,1.28,24.45,AUTOMOBILE
0,ABB India Ltd.,ABB,1.26,24.07,INDUSTRIAL MANUFACTURING
66,NHPC Ltd.,NHPC,1.24,23.69,ENERGY
76,Pidilite Industries Ltd.,PIDILITIND,1.24,23.69,CHEMICALS
18,Britannia Industries Ltd.,BRITANNIA,1.21,23.119999999999997,CONSUMER GOODS
84,Shree Cement Ltd.,SHREECEM,1.2,22.93,CEMENT & CEMENT PRODUCTS
9,Bajaj Auto Ltd.,BAJAJ-AUTO,1.2,22.93,AUTOMOBILE
71,Oil & Natural Gas Corporation Ltd.,ONGC,1.1900000000000002,22.73,ENERGY
68,NTPC Ltd.,NTPC,1.18,22.54,ENERGY
51,Infosys Ltd.,INFY,1.18,22.54,IT
37,Housing Development Finance Corporation Ltd.,HDFC,1.11,21.21,FINANCIAL SERVICES
39,Hero MotoCorp Ltd.,HEROMOTOCO,1.0999999999999999,21.02,AUTOMOBILE
78,Power Grid Corporation of India Ltd.,POWERGRID,0.9900000000000001,18.91,ENERGY
49,IndusInd Bank Ltd.,INDUSINDBK,0.96,18.34,FINANCIAL SERVICES
25,Dabur India Ltd.,DABUR,0.95,18.15,CONSUMER GOODS
62,Maruti Suzuki India Ltd.,MARUTI,0.9299999999999999,17.77,AUTOMOBILE
38,HDFC Bank Ltd.,HDFCBANK,0.8200000000000001,15.67,FINANCIAL SERVICES
