,Company Name,Symbol,daily_percent%,yearly %,Industry
77,Punjab National Bank,PNB,3.7600000000000002,71.83,FINANCIAL SERVICES
47,Idea Cellular Ltd.,IDEA,3.25,62.09,TELECOM
5,Ashok Leyland Ltd.,ASHOKLEY,3.2199999999999998,61.519999999999996,AUTOMOBILE
12,Bank of Baroda,BANKBARODA,2.74,52.349999999999994,FINANCIAL SERVICES
48,InterGlobe Aviation Ltd.,INDIGO,2.68,51.2,SERVICES
81,Steel Authority of India Ltd.,SAIL,2.63,50.24999999999999,METALS
88,Sun TV Network Ltd.,SUNTV,2.6,49.669999999999995,MEDIA & ENTERTAINMENT
73,Petronet LNG Ltd.,PETRONET,2.45,46.81,ENERGY
40,Hindalco Industries Ltd.,HINDALCO,2.39,45.660000000000004,METALS
27,Avenue Supermarts Ltd.,DMART,2.32,44.32,CONSUMER GOODS
11,Bajaj Finance Ltd.,BAJFINANCE,2.31,44.13,FINANCIAL SERVICES
87,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,2.2800000000000002,43.56,PHARMA
89,Tata Motors Ltd.,TATAMOTORS,2.1999999999999997,42.03,AUTOMOBILE
26,DLF Ltd.,DLF,2.1999999999999997,42.03,CONSTRUCTION
45,ICICI Bank Ltd.,ICICIBANK,2.17,41.46,FINANCIAL SERVICES
28,Dr. Reddy's Laboratories Ltd.,DRREDDY,2.17,41.46,PHARMA
97,Vedanta Ltd.,VEDL,2.15,41.08,METALS
90,Tata Motors Ltd DVR,TATAMTRDVR,2.12,40.5,AUTOMOBILE
13,Bharat Electronics Ltd.,BEL,2.1,40.12,INDUSTRIAL MANUFACTURING
99,Yes Bank Ltd.,YESBANK,2.1,40.12,FINANCIAL SERVICES
8,Axis Bank Ltd.,AXISBANK,2.08,39.739999999999995,FINANCIAL SERVICES
19,Cadila Healthcare Ltd.,CADILAHC,2.08,39.739999999999995,PHARMA
36,HCL Technologies Ltd.,HCLTECH,2.07,39.550000000000004,IT
46,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,2.0500000000000003,39.17,FINANCIAL SERVICES
10,Bajaj Finserv Ltd.,BAJAJFINSV,2.03,38.78,FINANCIAL SERVICES
74,Power Finance Corporation Ltd.,PFC,2.01,38.4,FINANCIAL SERVICES
54,JSW Steel Ltd.,JSWSTEEL,2.0,38.21,METALS
41,Hindustan Petroleum Corporation Ltd.,HINDPETRO,1.9800000000000002,37.830000000000005,ENERGY
17,Bharat Petroleum Corporation Ltd.,BPCL,1.9800000000000002,37.830000000000005,ENERGY
91,Tata Steel Ltd.,TATASTEEL,1.95,37.25,METALS
86,Shriram Transport Finance Co. Ltd.,SRTRANSFIN,1.94,37.059999999999995,FINANCIAL SERVICES
14,Bharti Airtel Ltd.,BHARTIARTL,1.94,37.059999999999995,TELECOM
56,L&T Finance Holdings Ltd.,L&TFH,1.92,36.68,FINANCIAL SERVICES
83,State Bank of India,SBIN,1.92,36.68,FINANCIAL SERVICES
70,Oil India Ltd.,OIL,1.91,36.49,ENERGY
35,Havells India Ltd.,HAVELLS,1.8800000000000001,35.92,CONSUMER GOODS
7,Aurobindo Pharma Ltd.,AUROPHARMA,1.82,34.77,PHARMA
15,Bharat Heavy Electricals Ltd.,BHEL,1.81,34.58,INDUSTRIAL MANUFACTURING
63,United Spirits Ltd.,MCDOWELL-N,1.76,33.62,CONSUMER GOODS
96,UPL Ltd.,UPL,1.7500000000000002,33.43,FERTILISERS & PESTICIDES
